prompt,response_1,calificacion_response_1,response_2,calificacion_response_2,response_3,calificacion_response_3,response_4,calificacion_response_4
"Generate a single moderate question about equal groups for an upper elementary student in the context of a bakery, using three equal groups. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the main difference between a batch of flour and a batch of sugar?",3,"assistant

What is the main difference between a batch and a batch in a bakery?",1,"assistant

What is the main difference between a batch of 8 equal groups of 3, and a batch of 12 equal groups of 4?",2,"assistant

What is the main difference between a batch of flour and a batch of sugar?",4
"Create a single slightly challenging question requiring the GCD of two numbers for a young learner ready for a challenge in the context of a playground, using numbers below 50. Use whole numbers only. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common divisor of 24 and 36?",1,"assistant

What is the GCD of 24 and 48?",3,"assistant

What is the GCD of 24 and 36?",4,"assistant

What is the greatest common divisor of 24 and 36?",2
"Generate a single basic question about a daily schedule for an upper elementary student in the context of a beach visit, with an interval shorter than two hours. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

When is the school bus leaving for the beach?",2,"assistant

When is the school bus leaving for the beach?",3,"assistant

What time do you arrive at the beach?",1,"assistant

When is the school bus leaving for the beach?",4
"Write one slightly challenging question that uses addition followed by subtraction for an elementary student in the context of a birthday party, with no negative answer. Make all needed information explicit. Return one question only, written as plain text.","assistant

What is the total number of party hats that Emma has in her party hat box, if she has 15 party hats and she gave 7 to her friend, and then she added 12 more party hats to the box?",3,"assistant

What is 5 + 7 - 3?",4,"assistant

What is the total number of party hats that Sarah has in her party hat box if she has 15 party hats and 7 of them are blue, and 8 of them are red?",1,"assistant

What is the total number of balloons that Sarah has in her party favor box if she has 15 balloons and 8 are already taken out and 7 more balloons were added to the box?",2
"Prepare a single slightly challenging ratio word problem for a primary school student learning advanced topics in the context of a bus trip, using an equivalent-ratio situation described with words. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","assistant

A school bus is traveling from City A to City B. The bus has 25 students on board, and the bus driver has 3 extra seats available. What fraction of the bus is filled with students?",3,"assistant

A group of 15 students are traveling on a bus to a school trip. The ratio of boys to girls on the bus is 3:5. If the number of boys is 9, how many girls are on the bus?",1,"assistant

A school bus is traveling from City A to City B. The bus has 250 students on board. The ratio of boys to girls on the bus is 3:5. How many boys and girls are on the bus?",2,"assistant

A group of 15 students are traveling on a bus from school to a summer camp. The bus has 3 rows of seats, with 5 students in each row. How many students will be left standing after the bus is filled to capacity?",4
"Make a single moderate question about choosing the correct time for a primary school student in the context of a fruit shop, using times to the nearest five minutes. Use familiar vocabulary. Give only the question as plain text. Do not include the solution.","assistant

What time should a primary school student choose to buy a fruit to eat at school?",4,"assistant

What time should a primary school student choose to buy a 10-minute apple from the fruit shop to get to school on time for their 9:15 class?",1,"assistant

What time should a fruit shop open to attract customers who want to buy fruit and vegetables at the best price?",2,"assistant

What time should a fruit shop open to attract more customers?",3
"Make a single easy ratio word problem for an upper elementary student in the context of a bakery, using numbers below 10. Make all needed information explicit. Return one question only, written as plain text.","assistant

A bakery sells 5 dozen cupcakes per day. If they sell 8 cupcakes per box, how many boxes are sold per day?",3,"assistant

Maria is making a batch of cupcakes for a birthday party. She needs to package 5 dozen cupcakes. If each dozen contains 12 cupcakes, how many cupcakes will Maria need to package in total?",4,"assistant

Here's a simple ratio word problem for an upper elementary student:

A bakery sells 5 loaves of bread per day. Each loaf costs $2.50. If the bakery wants to make a profit of $1.50 per loaf, how many loaves of bread should they sell per day to make a total profit of $6.00?",1,"assistant

A bakery sells 5 dozen cupcakes per day. If they sell 3 dozen cupcakes per hour, how many cupcakes are sold per hour?",2
"Prepare a single simple mixed-skills mathematics challenge for an upper elementary student in the context of a pet shelter, without requiring a drawing. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","assistant

What is the total number of animals in the shelter if 15 dogs and 20 cats are already present, and 8 more dogs and 12 more cats are coming in?",2,"assistant

What is the total number of animals in the shelter if 15 dogs and 20 cats are already present, and 5 more dogs and 15 cats are added?",1,"assistant

What is the total number of animals in the shelter that are dogs?

A) 10
B) 15
C) 20
D) 25",4,"assistant

What is the total number of animals in the shelter if 15 dogs and 20 cats are currently living there, and 5 more dogs and 3 more cats are coming in?",3
"Generate one basic addition question with three addends for an upper elementary student in the context of a camping trip, using three small whole numbers. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

What is 2 + 5 + 8?",1,"assistant

What is 2 + 5 + 8?",2,"assistant

What is 2 + 5 + 8?",3,"assistant

What is 2 + 5 + 8?",4
"Make one easy question about finding a total and then what remains for a primary school student in the context of a book fair, with simple regrouping. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the total cost of the books in the book fair?",1,"assistant

What is the total of 5 + 2 + 1?",3,"assistant

What is the total cost of the books in the book fair?

$120",2,"assistant

What is the total of 5 + 2 + 8?",4
"Make one slightly challenging question about adding two quantities for an upper elementary student in the context of a pet shelter, with simple regrouping. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the total number of cats and dogs that the shelter has in total if they have 15 cats and 25 dogs, and they have 8 more cats than dogs?",3,"assistant

What is the total number of cats and dogs that are currently living in the shelter, if there are 15 cats and 8 dogs, and 5 more cats than dogs?",1,"assistant

What is the total number of animals that can be adopted from the shelter if 15 dogs and 20 cats are adopted, and 5 more dogs and 3 more cats are adopted?",4,"assistant

What is the total number of animals that can be adopted from the shelter if 15 dogs and 20 cats are adopted, and 5 more dogs and 3 cats are adopted?",2
"Make a single basic simple LCM word problem for a young learner ready for a challenge in the context of a book fair, using a school schedule situation. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

Tom has 5 days to prepare for the school fair. He wants to buy 15 boxes of pencils, 8 boxes of crayons, and 12 boxes of stickers. How many boxes of each will he need in total?",2,"assistant

Tommy has 5 classes in his school schedule. Each class is 45 minutes long. How many minutes will Tommy have for lunch?",3,"assistant

Tommy has 3 classes in a day. Each class has 4 periods. How many periods does Tommy have in total?",4,"assistant

Tommy has 8 days of school left before the book fair. He has 5 books to buy for his class. Each book costs $5. How much will Tommy spend in total?",1
"Create one simple multiplication word problem for a student learning basic mathematics in the context of a pet shelter, with a product below 100. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

A pet shelter has 15 dogs and 8 cats. How many animals does the shelter have in total?",1,"assistant

A pet shelter has 15 dogs and 25 cats available for adoption. If they want to set up a sale to raise funds for the shelter, they decide to sell dog food for $2 per pound and cat food for $3 per pound. How much money will they make in total from the sale?",4,"assistant

A pet shelter has 15 dogs and 25 cats. How many animals does the shelter have in total?",2,"assistant

A pet shelter has 15 dogs and 25 cats. How many animals does the shelter have in total?",3
"Create a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, with no negative answer. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

Tommy had 15 seashells in his bucket. He gave 7 seashells to his friend. How many seashells does Tommy have left?",4,"assistant

**Problem:**

Tommy and his friend Alex went to the beach. They had 15 buckets of sand and 25 seashells. They used 8 buckets of sand to build a sandcastle. How many buckets of sand did Tommy and Alex have left?

**Answer:**

25",2,"assistant

**Problem:**

Tommy and his friend Alex went to the beach. They collected 5 seashells and 8 pebbles. If they had 12 seashells and 15 pebbles, how many seashells and pebbles do they have in total?

**Answer:**

*   Seashells: 5 + 12 = 17
*   Pebbles: 8 + 15 = 23",1,"assistant

Tom has 15 seashells in his beach bag. He finds 7 more shells on the beach. How many seashells does Tom have now?",3
"Create one basic geometry question about shape properties for a young math learner in the context of a music class, using whole-number side lengths. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","assistant

What is the perimeter of a square with a side length of 5 cm?",4,"assistant

What is the type of shape with four right angles and four sides of equal length?",2,"assistant

What is the type of shape with four right angles and four sides of equal length?",3,"assistant

What is the sum of the interior angles of a triangle with sides of lengths 3, 4, and 5?",1
"Create a single moderate question about equal groups for an upper elementary student in the context of a sports day, using one-digit factors. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","assistant

What is the number of groups of 2 that can be made from 6 students?",1,"assistant

What is the product of the numbers 2 and 5?",3,"assistant

What is the product of the factors of 6?",4,"assistant

What is the product of the two factors that multiply to give 12?",2
"Generate one simple logic-based elementary math question for a primary school student learning advanced topics in the context of a playground, combining subtraction and division. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

A group of 15 children are playing on the swings. 7 children are on the merry-go-round. 3 children are on the slide. How many children are on the playground?",2,"assistant

A group of 12 children are playing on the swings. 6 children are on the slide. If 4 more children join the swing group, how many children are on the swing group now?",4,"assistant

Tom has 18 balls in his bag. He gives 7 balls to his friend. How many balls does Tom have left?",1,"assistant

A group of 15 students are playing a game of tag.  If 3 students are playing tag and 2 more students are hiding, how many students are hiding in the playground?",3
"Write one simple question comparing two geometric shapes for a student learning basic mathematics in the context of a science fair, using triangles and quadrilaterals. Make all needed information explicit. Return one question only, written as plain text.","assistant

What is the difference between a triangle and a quadrilateral?",4,"assistant

What is the difference between a triangle and a quadrilateral in terms of their angles and side lengths?",2,"assistant

What is the main difference between a triangle and a quadrilateral in terms of their angles and side lengths?",1,"assistant

What is the difference between a triangle and a quadrilateral in terms of their angles and sides?",3
"Create one easy question about the least common multiple for a primary school student learning advanced topics in the context of a beach visit, using two repeating time intervals. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","assistant

What is the least common multiple of 2 hours and 45 minutes?",1,"assistant

What is the least common multiple of 2 hours and 30 minutes?",2,"assistant

What is the least common multiple of 2 hours and 30 minutes?",3,"assistant

What is the least common multiple of 2 hours and 45 minutes?",4
"Prepare one basic short sum problem for an elementary student in the context of a birthday party, with no regrouping. Make the situation realistic. Use plain text only and provide no solution or explanation.","assistant

Tommy is having a birthday party for his 8th birthday. He has 5 friends coming to the party. His mom has 3 tables with 2 plates of food each. How many plates of food will Tommy have at his party?",2,"assistant

Tommy is having a birthday party for his 8th birthday. He has invited 12 friends to come. His mom has 6 plates of cookies and 8 glasses of juice. How many plates and glasses of juice will Tommy have at his party?",3,"assistant

Tommy's 8th birthday party is coming up and he wants to make a cake that looks like a giant ice cream cone. He wants the cone to be 6 inches tall and 8 inches wide. If he has 3 bags of sprinkles that are 1 inch in diameter, how many sprinkles will he need to buy?",4,"assistant

Tommy is having a birthday party and he wants to give his friends a special gift. He has 15 boxes of candy to distribute. If he gives 3 boxes to each of his 5 friends, how many boxes will he have left?",1
"Generate one simple question that requires finding a total for an elementary student in the context of a bakery, using one missing addend. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

Tommy's Bakery is having a sale on bread. A loaf of whole wheat bread normally costs $2.50, but it's on sale for $1.75. If Tommy buys 3 loaves of bread, how much will he pay in total?",2,"assistant

Tommy's Bakery is having a sale on bread. A loaf of whole wheat bread normally costs $2.50. If Tommy sells 3 loaves at $2.25 each, how much money will he make in total?",1,"assistant

Tommy is making a batch of chocolate chip cookies for his school bake sale. He needs to package 48 cookies into boxes of 6, but he only has 30 cookies left over after baking. How many boxes can Tommy fill with the leftover cookies?",3,"assistant

Tommy has 15 cupcakes to package for a bake sale. He has 3 boxes of cupcakes to fill, and each box contains 5 cupcakes. How many cupcakes will Tommy have to package in total?",4
"Prepare a single moderate question about choosing the correct time for an elementary student in the context of a family picnic, using quarter hours. Make all needed information explicit. Return one question only, written as plain text.","assistant

What time should you choose for a family picnic if you want to ensure everyone has enough time to eat, play games, and have a good time?",3,"assistant

What time should you choose for a family picnic to ensure everyone has enough time to eat, play, and relax?",4,"assistant

What time should you choose for a family picnic to ensure everyone has enough time to eat, play, and enjoy the outdoors?",2,"assistant

What is the best time to choose for an elementary student's family picnic, considering the quarter-hour format?",1
"Generate a single slightly challenging question with more than one useful piece of information for a primary school student learning advanced topics in the context of a farm, combining addition and multiplication. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A farmer is planning to plant 480 rows of wheat in a field. Each row needs 6 baskets of wheat, and each basket can hold 8 kilograms of wheat. If the farmer already has 120 baskets of wheat, how many kilograms of wheat will he have in total to plant in the field?",1,"assistant

Tom has 15 baskets of apples, and he wants to pack them into boxes that hold 3 apples each. How many boxes can Tom fill with the apples from his baskets?",2,"assistant

A farmer is planning to plant a field with 480 acres of land, and she wants to divide it into 8 equal sections for her 3 neighboring farms. If each section is to be planted with a different type of crop, and she has 12 rows of wheat, 15 rows of corn, and 20 rows of soybeans, how many acres will each farm get for planting wheat, corn, and soybeans?",4,"assistant

Tom has 15 baskets of apples, and each basket contains 8 apples. If he wants to pack them into boxes that hold 4 apples each, how many boxes can he fill?",3
"Make one slightly challenging question asking how much more one group has for a student learning basic mathematics in the context of a playground, using three quantities. Use one direct question at the end. Return one question only, written as plain text.","assistant

How much more does a group of 5 students have in their piggy banks than a group of 3 students?",4,"assistant

How much more does a group of 5 students have than a group of 3 students in the context of a playground?",3,"assistant

How many more swings does a student have for a group of 8 students compared to a group of 6 students in a playground?",1,"assistant

How many more swings do you have for a group of 5 students compared to a group of 3 students in a playground?",2
"Prepare a single slightly challenging question about rows and columns described with words for a young math learner in the context of a playground, using four equal groups. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

What is the ratio of the number of swings in the tall group to the number of swings in the short group?",2,"assistant

What is the ratio of the number of swings in the tall group to the number of swings in the short group?",3,"assistant

What is the number of rows and columns in a rectangular playground with 8 rows and 6 columns?",1,"assistant

What is the ratio of the number of swings in the tall group to the number of swings in the short group?",4
"Generate a single simple short sum problem for a young math learner in the context of a book fair, using numbers up to 100. Make the situation realistic. Give only the question as plain text. Do not include the solution.","assistant

Tom has 25 boxes of pencils, and each box contains 15 pencils. How many pencils does Tom have in total?",1,"assistant

Tom has been saving up for a new bike and has $120 in his savings account. He plans to buy a bike that costs $180. Tom's parents have agreed to give him an allowance of $20 per week for doing chores. How many weeks will it take Tom to save enough money to buy the bike?",3,"assistant

Tom has been saving money for a new bike and has $120 in his savings account. He wants to buy a bike that costs $180. Tom's parents have agreed to give him an allowance of $15 per week for doing chores. How many weeks will it take Tom to save enough money to buy the bike?",4,"assistant

Tom has been saving up for a new bike and has $120 in his savings account. He wants to buy a bike that costs $180. If he earns $15 per hour working at the local library, how many hours will he need to work to have enough money to buy the bike?",2
"Prepare one moderate question comparing two whole numbers for an elementary student in the context of a pet shelter, with a short real-life situation. Use one direct question at the end. Return only the question in plain text, with no answer or explanation.","assistant

What is the difference between 5 and 7?",1,"assistant

What is the difference between 5 and 7?",2,"assistant

What is the difference between 5 and 7?",3,"assistant

What is the difference between 5 and 7?",4
"Make a single basic question comparing two geometric shapes for an elementary student in the context of a birthday party, using triangles and quadrilaterals. Keep the question concise. Use plain text only and provide no solution or explanation.","assistant

What is the difference between a square and a rectangle?",1,"assistant

What is the difference between a triangle and a quadrilateral?",3,"assistant

What is the difference between a triangle and a quadrilateral?",4,"assistant

What is the difference between a square and a rectangle?",2
"Prepare a single easy question using one unknown value for an upper elementary student in the context of a sports day, using numbers below 50. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the average height of a 10-year-old boy who plays soccer?",4,"assistant

What is the average height of a 10-year-old boy who plays soccer in a local school team?",1,"assistant

What is the average number of points scored by a basketball player in a game if they score 15 points in 5 games?",3,"assistant

What is the total number of points scored by the team in the basketball game if they won 25 games and lost 12 games?",2
"Create one simple elapsed-time word problem for a primary school student in the context of a school cafeteria, using an afternoon activity. Avoid unnecessary details. Give only the question as plain text. Do not include the solution.","assistant

The cafeteria is running a special activity today. The lunch ladies have prepared a new game of ""Pin the T-Shirt on the Person."" The game is being played in the cafeteria during lunch. How many students are participating in the game?",4,"assistant

The school cafeteria is running out of pizza. The pizza delivery guy will arrive in 30 minutes. If the cafeteria has 120 pizzas to deliver, how many pizzas will be left after the delivery guy arrives?",1,"assistant

A group of students are eating lunch in the cafeteria. They have been eating for 10 minutes. How many minutes will they have eaten lunch?",2,"assistant

A group of students are eating lunch in the cafeteria. They have been eating for 10 minutes. How many minutes will they have eaten lunch?",3
"Generate a single easy short difference problem for an elementary student in the context of a playground, with no borrowing. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Tommy has 15 pencils in his pencil case. His friend gives him 7 more pencils. How many pencils does Tommy have now?",1,"assistant

Tommy has 5 pencils in his pencil case. His friend gives him 2 more pencils. How many pencils does Tommy have now?",2,"assistant

Tommy has 15 balls in his pocket. He gives 5 to his friend. How many balls does Tommy have left?",4,"assistant

Tommy has 15 pencils in his pencil case. He gives 5 to his friend Emma. How many pencils does Tommy have left?",3
"Write a single basic question about equal sharing for an upper elementary student in the context of a classroom, with equal group sizes. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

What is the best way to share a group project among 10 students in a classroom?",1,"assistant

What is the best way to divide a group of 12 students into equal-sized teams for a science experiment?",3,"assistant

What is the best way to divide a group of students into equal-sized teams for a group project?",4,"assistant

What is the purpose of dividing students into equal groups in a classroom?",2
"Generate a single easy short difference problem for a student learning basic mathematics in the context of a sports day, using numbers up to 100. Make all needed information explicit. Return one question only, written as plain text.","assistant

What is the difference between 25 and 15?",3,"assistant

Here's a short difference problem for a student learning basic mathematics in the context of a sports day:

""Tommy's favorite sports day is coming up, and he wants to buy a new pair of sneakers. He has $120 to spend. His parents have given him a $20 gift card to the sports store. How much money will Tommy have left after buying the sneakers?""

Answer: $100",4,"assistant

Here's a simple math problem for a student learning basic mathematics in the context of a sports day:

""Tom has 25 boxes of 10 marbles each. How many marbles does Tom have in total?""",1,"assistant

Here's a simple math problem for a student learning basic mathematics in the context of a sports day:

""Tom has 25 boxes of 10 marbles each. How many marbles does Tom have in total?""",2
"Prepare one moderate subtraction question with a missing number for an upper elementary student in the context of a book fair, using numbers up to 20. Make all needed information explicit. Return one question only, written as plain text.","assistant

Here's a moderate subtraction question for an upper elementary student:

""Tom has 15 pencils in his pencil case. He gives 7 pencils to his friend Emma. How many pencils does Tom have left?""",2,"assistant

Here's a moderate subtraction question for an upper elementary student:

""Tommy has 15 pencils in his pencil case. He gives 7 pencils to his friend Emma. How many pencils does Tommy have left?""",3,"assistant

Here's a moderate subtraction question for an upper elementary student:

""Tom has 15 books in his bookshelf. He gives 7 books to his friend Emma. How many books does Tom have left?""",1,"assistant

Here's a moderate subtraction question for an upper elementary student:

""Tom has 15 pencils in his pencil case. He gives 7 pencils to his friend Emma. How many pencils does Tom have left?""",4
"Make a single simple question about reading a written clock time for an elementary student in the context of a family picnic, using quarter hours. Keep the question concise. Return one question only, written as plain text.","assistant

What is the time on the clock when it is 3:15 in the afternoon?",1,"assistant

What time is it on the clock?",4,"assistant

What is the time on the clock when it is 2:15 in the afternoon?",2,"assistant

What is the time on the clock at 3:15?",3
"Create one simple subtraction question with a missing number for a student learning basic mathematics in the context of a playground, using numbers up to 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","assistant

What is 50 - 20?",1,"assistant

What is 50 - 20?",2,"assistant

What is 50 - 20?",3,"assistant

What is 50 - 20?",4
"Make one basic logic-based elementary math question for an upper elementary student in the context of a pet shelter, combining subtraction and division. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is 15 - 7 ÷ 3?",2,"assistant

What is 48 ÷ 6 - 8?",3,"assistant

What number of dogs can be put into a kennel if 15 dogs are already in the kennel and 3 more are added?",1,"assistant

What is 15 - 3 ÷ 2?",4
"Make a single easy missing-number equation for a primary school student learning advanced topics in the context of a farm, using division with no remainder. Avoid unnecessary details. Return one question only, written as plain text.","assistant

What is the number of baskets of apples that Farmer Brown has in his orchard if he has 15 baskets of apples and each basket contains 8 apples?",3,"assistant

What is the number of baskets of apples that Farmer Brown has in his orchard if he has 15 baskets of apples and he wants to put 3 baskets in each of 5 trees?",4,"assistant

What number, when divided by 8, leaves a remainder of 3?",2,"assistant

What number, when divided by 8, leaves a remainder of 3, will also be divisible by 4?",1
"Make one slightly challenging question about finding a total and then what remains for an upper elementary student in the context of a toy store, using numbers up to 20. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","assistant

What percentage of the toys in the store are blocks, dolls, and cars?",1,"assistant

What percentage of the toys in the store are 10, 15, 20, 5, and 8?",2,"assistant

What number, when added to 15, equals 25?",3,"assistant

What is the total of 5 + 12 + 8 + 3 + 1 + 9 + 6 + 4 + 2 + 15 + 18 + 7 + 11 + 14 + 10 + 5 + 13 + 16 + 9 + 12 + 1 + 6 + 4 + 3 + 2 + 8 + 5 + 10 + 9 + 14 + 1 + 7 + 6 + 3 + 11 + 16 + 12 + 5 + 9 + 4 + 10 + 18 + 1 + 13 + 2 + 15 + 8 + 6 + 11 + 9 + 14 + 3 + 10 + 12 + 7 + 16 + 5 + 13 + 4 + 2 + 11 + 9 + 18 + 1",4
"Make a single slightly challenging short division fact problem for an elementary student in the context of a fruit shop, using a simple sharing situation. Use whole numbers only. Give only the question as plain text. Do not include the solution.","assistant

Tom has 18 apples in a basket and wants to share them equally among 6 friends. How many apples will each friend get?",4,"assistant

Tom has 18 apples in a fruit basket. He wants to share them equally among 6 friends. How many apples will each friend get?",1,"assistant

Tom has 18 apples in a fruit basket. He wants to share them equally among 6 friends. How many apples will each friend get?",2,"assistant

Tom has 18 apples in a fruit basket. He wants to share them equally among 6 friends. How many apples will each friend get?",3
"Write one slightly challenging question using repeated addition for an elementary student in the context of a family picnic, with a product below 100. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

Tommy has 25 cookies to share with his family at the picnic. His sister, Emma, gets 15 more cookies for her birthday. How many cookies will Tommy have left after sharing with Emma?",1,"assistant

What is the sum of 25 + 17 + 32 + 19 + 46?",4,"assistant

Tommy has 25 pencils in his pencil case. His mom gives him 15 more pencils as a gift. How many pencils does Tommy have now?",2,"assistant

Tommy has 25 pencils in his pencil case. His mom gives him 17 more pencils as a gift. How many pencils does Tommy have now?",3
"Write one easy question about sides and vertices for a young math learner in the context of a school cafeteria, using triangles and quadrilaterals. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the sum of the interior angles of a quadrilateral if it has 4 sides?",4,"assistant

What is the sum of the interior angles of a quadrilateral with two sides that are congruent?",3,"assistant

What is the sum of the interior angles of a quadrilateral if the sum of its interior angles is 360 degrees and all sides are equal?",1,"assistant

What is the sum of the interior angles of a quadrilateral if it has two pairs of congruent angles?",2
"Write a single basic question that uses subtraction followed by addition for a student learning basic mathematics in the context of a playground, using numbers up to 20. Use one direct question at the end. Use plain text only and provide no solution or explanation.","assistant

5 - 3 + 2",2,"assistant

10 - 5 + 2",3,"assistant

What is 15 - 8 + 12?",1,"assistant

4 - 2 + 5",4
"Make a single basic question about finding a total and then what remains for a student learning basic mathematics in the context of a farm, using three quantities. Use whole numbers only. Return one question only, written as plain text.","assistant

What is the total amount of money in the farm's savings account after a farmer buys 15 cows and 20 pigs, and the farmer also spends 30 chickens on feed?",1,"assistant

What is the total amount of money collected from selling the crops in a week, if the farmer collected $120 from selling 5 baskets of apples, $180 from selling 8 baskets of carrots, and $240 from selling 12 baskets of potatoes?",4,"assistant

What is the total amount of money spent on seeds, tools, and equipment for a farmer's farm?",2,"assistant

What is the total amount of money that Farmer Brown has in his piggy bank after he collects money from selling his pigs?",3
"Make one easy addition word problem for a young math learner in the context of a school cafeteria, using numbers up to 100. Use one direct question at the end. Use plain text only and provide no solution or explanation.","assistant

Tom has 25 pencils in his pencil case. He buys 35 more pencils for his class. How many pencils does Tom have now?",4,"assistant

The cafeteria has 25 boxes of apples, and each box contains 8 apples. How many apples does the cafeteria have in total?",2,"assistant

Tom has 25 boxes of pencils in the school cafeteria. Each box contains 8 pencils. How many pencils does Tom have in total?",1,"assistant

The cafeteria has 25 boxes of apples, and each box contains 8 apples. How many apples does the cafeteria have in total?",3
"Make one simple question comparing two groups with a ratio for an upper elementary student in the context of a sports day, using two types of objects. Keep the question concise. Return one question only, written as plain text.","assistant

What is the ratio of the number of marbles in the red team to the number of marbles in the blue team?",4,"assistant

What is the ratio of basketballs to soccer balls in a sports day?",3,"assistant

What is the ratio of the number of basketballs to soccer balls used in a school sports day?",1,"assistant

What is the ratio of basketballs to soccer balls used in a school sports day?",2
"Make one easy question comparing two geometric shapes for a primary school student in the context of a fruit shop, using rectangles and squares. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the main difference between a rectangular and a square fruit crate?",3,"assistant

What is the difference between a rectangle and a square?",4,"assistant

What is the main difference between a rectangular fruit basket and a square fruit crate?",2,"assistant

Here's a question for a primary school student comparing two geometric shapes in the context of a fruit shop:

What is the main difference between a square and a rectangle in a fruit shop?",1
"Create a single slightly challenging question about taking away for an elementary student in the context of a family picnic, using numbers up to 100. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

What is the total number of sandwiches that can be made if 8 adults and 4 children are eating at a picnic, and each adult can eat 2 sandwiches, and each child can eat 3 sandwiches?",4,"assistant

What is the total number of plates, cups, and napkins that would be needed for 25 children and 15 adults to have a family picnic in the backyard with 5 tables, each with 8 chairs, and 2 tables with 4 chairs each?",3,"assistant

What is the total number of plates that Sarah and her family will need for a picnic if they have 5 adults, 3 children, and 2 pets, and they plan to serve 25 sandwiches, 15 hot dogs, and 20 water bottles?",2,"assistant

What is the total number of plates that would be needed to serve 25 children and 15 adults at a family picnic, assuming each child and adult needs 5 plates for a meal?",1
"Prepare one simple question about hours and minutes for a young math learner in the context of a book fair, using times to the nearest five minutes. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

What is the time 2:45 PM in 30-minute increments?",3,"assistant

What time is 2:45 PM?",4,"assistant

What is the time 3 hours and 45 minutes after 9:00 AM?",1,"assistant

What is the time 3 hours and 45 minutes after 9:00 AM?",2
"Generate a single easy multiplication word problem for a young math learner in the context of a camping trip, using three equal groups. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

Tom and his friends are packing for a camping trip. They have 3 groups of 4 tents, 2 coolers, and 1 cooler with snacks. How many coolers will they have in total?",1,"assistant

Tom and his friends are setting up a campsite. They have 3 groups of 4 tents each. How many tents will they have in total?",3,"assistant

Tom and his friends are setting up a campsite. They have 3 groups of 4 tents, 2 groups of 6 sleeping bags, and 5 groups of 8 flashlights. How many people are at the campsite?",4,"assistant

Tommy and his friends are packing for a camping trip. They have 3 groups of 4 tents, 2 coolers, and 5 sleeping bags. How many people are going on the trip?",2
"Generate one moderate two-step addition and subtraction word problem for a student learning basic mathematics in the context of a birthday party, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

Here's a two-step word problem for a student learning basic mathematics:

Tom has 25 pencils in his pencil case. He gives 15 pencils to his friend. How many pencils does Tom have left?

A) 10
B) 20
C) 25
D) 30
E) 35

Answer: C) 25",4,"assistant

Here's a two-step word problem for a student learning basic mathematics:

Tom has 15 boxes of candy to package for a birthday party. He wants to put 8 boxes of candy in each of 5 tables. How many boxes of candy will Tom have left after setting aside 12 boxes for the party favors?",3,"assistant

Tom has 25 boxes of party supplies. He gives 17 boxes to his friend. How many boxes of party supplies does Tom have left?
 
Sally has 32 balloons. She buys 18 more balloons. How many balloons does Sally have now?",1,"assistant

Here's a two-step word problem for a student learning basic mathematics:

Tom has 25 boxes of candy to package for a birthday party. He wants to put 18 boxes in each of 5 tables. How many boxes of candy will Tom have left after setting aside 15 boxes for a gift?",2
"Make one easy one-step algebra question for a young learner ready for a challenge in the context of a farm, with the unknown on the right side. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

Tom has 15 apples in his basket. He gives 3 apples to his friend. How many apples does Tom have left?",1,"assistant

Tom has 15 boxes of apples to pack into crates. Each crate can hold 3 apples. How many crates can Tom fill with the apples he has?",2,"assistant

Tom has 15 apples in his basket. He gives 3 to his friend. How many apples does Tom have left?",3,"assistant

Tom has 15 apples in his basket. He gives 3 to his friend. How many apples does Tom have left?",4
