habilidad,prompt
time,"Generate a single moderate elapsed-time word problem for an upper elementary student in the context of a family picnic, with an interval shorter than two hours. Use familiar vocabulary. Give only the question as plain text. Do not include the solution."
time,"Prepare one slightly challenging question about reading a written clock time for an upper elementary student in the context of a bakery, using a morning activity. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
time,"Generate a single slightly challenging elapsed-time word problem for a student learning basic mathematics in the context of a garden, using half hours. Make the situation realistic. Return only the question in plain text, with no answer or explanation."
time,"Make one simple elapsed-time word problem for a student learning basic mathematics in the context of a family picnic, using quarter hours. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation."
time,"Generate one basic question about hours and minutes for a young math learner in the context of a school cafeteria, using quarter hours. Use familiar vocabulary. Return one question only, written as plain text."
time,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text."
time,"Generate a single basic question about hours and minutes for a primary school student in the context of a book fair, using times to the nearest five minutes. Keep the question concise. Output only the question in text form, without hints or an answer."
time,"Make a single slightly challenging question about choosing the correct time for an upper elementary student in the context of a garden, using times to the nearest five minutes. Keep the question concise. Use plain text only and provide no solution or explanation."
time,"Generate a single slightly challenging elapsed-time word problem for an upper elementary student in the context of a toy store, using a morning activity. Use whole numbers only. Give only the question as plain text. Do not include the solution."
time,"Prepare one basic question about choosing the correct time for an upper elementary student in the context of a pet shelter, using a morning activity. Use familiar vocabulary. Use plain text only and provide no solution or explanation."
time,"Create a single basic elapsed-time word problem for an upper elementary student in the context of a toy store, using an afternoon activity. Use whole numbers only. Output only the question in text form, without hints or an answer."
time,"Make a single simple question about reading a written clock time for an elementary student in the context of a family picnic, using quarter hours. Keep the question concise. Return one question only, written as plain text."
time,"Prepare one simple question about a daily schedule for an elementary student in the context of a book fair, using quarter hours. Keep the question concise. Return only the question in plain text, with no answer or explanation."
time,"Make a single basic question about choosing the correct time for an elementary student in the context of a music class, using an afternoon activity. Make all needed information explicit. Give only the question as plain text. Do not include the solution."
time,"Prepare one basic question about reading a written clock time for a primary school student in the context of a book fair, using whole hours. Use one direct question at the end. Give only the question as plain text. Do not include the solution."
time,"Make one slightly challenging question about hours and minutes for a student learning basic mathematics in the context of a camping trip, with an interval shorter than two hours. Use one direct question at the end. Give only the question as plain text. Do not include the solution."
time,"Write a single basic question about reading a written clock time for a primary school student in the context of a toy store, using times to the nearest five minutes. Use one direct question at the end. Return one question only, written as plain text."
time,"Prepare a single basic question about hours and minutes for an upper elementary student in the context of a sports day, using a morning activity. Use whole numbers only. Give only the question as plain text. Do not include the solution."
time,"Make one moderate question about hours and minutes for a primary school student in the context of a birthday party, using quarter hours. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
time,"Make one easy question about reading a written clock time for an upper elementary student in the context of a classroom, using a morning activity. Use familiar vocabulary. Use plain text only and provide no solution or explanation."
time,"Generate a single slightly challenging question about a daily schedule for a student learning basic mathematics in the context of a garden, using quarter hours. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation."
time,"Write a single slightly challenging question about a daily schedule for a young math learner in the context of a playground, using an afternoon activity. Use one direct question at the end. Output only the question in text form, without hints or an answer."
time,"Write one basic question about choosing the correct time for a young math learner in the context of a school cafeteria, using times to the nearest five minutes. Use familiar vocabulary. Return one question only, written as plain text."
time,"Prepare one slightly challenging question about hours and minutes for an upper elementary student in the context of a family picnic, using half hours. Use familiar vocabulary. Return one question only, written as plain text."
time,"Prepare a single easy question about choosing the correct time for an upper elementary student in the context of a classroom, using whole hours. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
time,"Create a single basic question about a daily schedule for a student learning basic mathematics in the context of a bakery, using quarter hours. Keep the question concise. Output only the question in text form, without hints or an answer."
time,"Generate a single moderate question about a daily schedule for an upper elementary student in the context of a farm, with an interval shorter than two hours. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation."
time,"Prepare one basic question about a daily schedule for an elementary student in the context of a classroom, using whole hours. Make all needed information explicit. Use plain text only and provide no solution or explanation."
time,"Make a single slightly challenging question about a daily schedule for an upper elementary student in the context of a school library, using half hours. Keep the question concise. Return one question only, written as plain text."
time,"Make a single basic question about hours and minutes for a young math learner in the context of a sports day, using times to the nearest five minutes. Use whole numbers only. Give only the question as plain text. Do not include the solution."
time,"Make a single moderate question about choosing the correct time for a primary school student in the context of a fruit shop, using times to the nearest five minutes. Use familiar vocabulary. Give only the question as plain text. Do not include the solution."
time,"Create one simple elapsed-time word problem for a primary school student in the context of a school cafeteria, using an afternoon activity. Avoid unnecessary details. Give only the question as plain text. Do not include the solution."
time,"Create one simple question about hours and minutes for an upper elementary student in the context of a fruit shop, using a morning activity. Make the situation realistic. Return only the question in plain text, with no answer or explanation."
multiplication,"Create one basic short multiplication fact problem for a primary school student in the context of a beach visit, using one-digit factors. Keep the question concise. Give only the question as plain text. Do not include the solution."
multiplication,"Prepare a single basic question about rows and columns described with words for a young math learner in the context of a music class, using three equal groups. Make the situation realistic. Output only the question in text form, without hints or an answer."
multiplication,"Generate a single slightly challenging question about rows and columns described with words for a young math learner in the context of a book fair, with a product below 100. Make all needed information explicit. Return one question only, written as plain text."
multiplication,"Create one moderate question using repeated addition for a young math learner in the context of a garden, using three equal groups. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation."
multiplication,"Prepare one basic question using repeated addition for a primary school student in the context of a birthday party, without showing an array. Make all needed information explicit. Output only the question in text form, without hints or an answer."
multiplication,"Generate a single easy question using repeated addition for a student learning basic mathematics in the context of a bus trip, with a product below 100. Keep the question concise. Give only the question as plain text. Do not include the solution."
multiplication,"Generate one simple question about rows and columns described with words for an elementary student in the context of a birthday party, using four equal groups. Use whole numbers only. Give only the question as plain text. Do not include the solution."
multiplication,"Generate one basic question using repeated addition for an upper elementary student in the context of a school library, without showing an array. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
multiplication,"Generate one basic short multiplication fact problem for a young math learner in the context of a family picnic, using facts from 2 to 10. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
multiplication,"Create one simple question using repeated addition for a primary school student in the context of a school library, using three equal groups. Use whole numbers only. Give only the question as plain text. Do not include the solution."
multiplication,"Prepare a single slightly challenging question about equal groups for a student learning basic mathematics in the context of a pet shelter, without showing an array. Use familiar vocabulary. Use plain text only and provide no solution or explanation."
multiplication,"Generate a single slightly challenging short multiplication fact problem for a student learning basic mathematics in the context of a farm, using four equal groups. Avoid unnecessary details. Return one question only, written as plain text."
multiplication,"Write a single simple question about equal groups for a student learning basic mathematics in the context of a book fair, without showing an array. Use whole numbers only. Output only the question in text form, without hints or an answer."
multiplication,"Generate a single slightly challenging short multiplication fact problem for a primary school student in the context of a pet shelter, without showing an array. Avoid unnecessary details. Give only the question as plain text. Do not include the solution."
multiplication,"Prepare one easy question using repeated addition for an elementary student in the context of a music class, using facts from 2 to 10. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
multiplication,"Write one slightly challenging question using repeated addition for an elementary student in the context of a family picnic, with a product below 100. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer."
multiplication,"Create a single simple multiplication word problem for a primary school student in the context of a fruit shop, without showing an array. Use one direct question at the end. Give only the question as plain text. Do not include the solution."
multiplication,"Prepare a single basic question about rows and columns described with words for an upper elementary student in the context of a community park, using facts from 2 to 5. Use whole numbers only. Output only the question in text form, without hints or an answer."
multiplication,"Write a single simple question using repeated addition for a primary school student in the context of a birthday party, using facts from 2 to 5. Keep the question concise. Return one question only, written as plain text."
multiplication,"Generate one slightly challenging multiplication word problem for a young math learner in the context of a bus trip, using facts from 2 to 5. Use whole numbers only. Give only the question as plain text. Do not include the solution."
multiplication,"Create a single basic short multiplication fact problem for a primary school student in the context of a book fair, with a product below 100. Use familiar vocabulary. Use plain text only and provide no solution or explanation."
multiplication,"Write one slightly challenging multiplication word problem for an upper elementary student in the context of a garden, using facts from 2 to 5. Use whole numbers only. Give only the question as plain text. Do not include the solution."
multiplication,"Prepare a single simple multiplication word problem for a young math learner in the context of a community park, using facts from 2 to 5. Make the situation realistic. Output only the question in text form, without hints or an answer."
multiplication,"Generate a single moderate question about equal groups for an upper elementary student in the context of a bakery, using three equal groups. Use familiar vocabulary. Use plain text only and provide no solution or explanation."
multiplication,"Create one moderate question about rows and columns described with words for an upper elementary student in the context of a fruit shop, with a product below 50. Make all needed information explicit. Use plain text only and provide no solution or explanation."
multiplication,"Prepare a single slightly challenging question about rows and columns described with words for a young math learner in the context of a playground, using four equal groups. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution."
multiplication,"Make a single slightly challenging question about rows and columns described with words for a primary school student in the context of a farm, without showing an array. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
multiplication,"Make one simple question about equal groups for an elementary student in the context of a fruit shop, without showing an array. Make the situation realistic. Give only the question as plain text. Do not include the solution."
multiplication,"Make one basic question using repeated addition for a student learning basic mathematics in the context of a family picnic, with a product below 100. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
multiplication,"Make one simple question using repeated addition for a primary school student in the context of a book fair, with a product below 50. Use familiar vocabulary. Return one question only, written as plain text."
multiplication,"Make a single slightly challenging short multiplication fact problem for a primary school student in the context of a bus trip, using facts from 2 to 10. Use one direct question at the end. Output only the question in text form, without hints or an answer."
multiplication,"Create a single moderate question about equal groups for an elementary student in the context of a school library, using facts from 2 to 10. Use whole numbers only. Use plain text only and provide no solution or explanation."
multiplication,"Write one moderate question using repeated addition for an upper elementary student in the context of a school cafeteria, with a product below 50. Keep the question concise. Give only the question as plain text. Do not include the solution."
multiplication,"Write a single moderate short multiplication fact problem for a student learning basic mathematics in the context of a community park, using facts from 2 to 5. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
multiplication,"Write a single easy question about equal groups for an upper elementary student in the context of a classroom, using one-digit factors. Make the situation realistic. Output only the question in text form, without hints or an answer."
multiplication,"Create a single slightly challenging question about equal groups for a student learning basic mathematics in the context of a pet shelter, using three equal groups. Avoid unnecessary details. Use plain text only and provide no solution or explanation."
multiplication,"Create a single moderate question about equal groups for an upper elementary student in the context of a sports day, using one-digit factors. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
multiplication,"Create a single moderate short multiplication fact problem for a young math learner in the context of a fruit shop, without showing an array. Keep the question concise. Return only the question in plain text, with no answer or explanation."
multiplication,"Create a single moderate short multiplication fact problem for a primary school student in the context of a farm, using four equal groups. Make the situation realistic. Output only the question in text form, without hints or an answer."
multiplication,"Generate a single slightly challenging question about equal groups for an elementary student in the context of a pet shelter, with a product below 50. Use whole numbers only. Give only the question as plain text. Do not include the solution."
multiplication,"Create a single slightly challenging short multiplication fact problem for an elementary student in the context of a fruit shop, using facts from 2 to 10. Make all needed information explicit. Return one question only, written as plain text."
multiplication,"Write a single basic question about equal groups for a student learning basic mathematics in the context of a fruit shop, using facts from 2 to 10. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
multiplication,"Create one simple multiplication word problem for a student learning basic mathematics in the context of a pet shelter, with a product below 100. Make the situation realistic. Return only the question in plain text, with no answer or explanation."
multiplication,"Create one easy question about equal groups for an upper elementary student in the context of a playground, using facts from 2 to 5. Keep the question concise. Return one question only, written as plain text."
multiplication,"Make one moderate question about rows and columns described with words for an elementary student in the context of a science fair, without showing an array. Use whole numbers only. Give only the question as plain text. Do not include the solution."
multiplication,"Generate one easy multiplication word problem for a primary school student in the context of a classroom, without showing an array. Make all needed information explicit. Return one question only, written as plain text."
multiplication,"Write one easy question about rows and columns described with words for a student learning basic mathematics in the context of a bus trip, with a product below 100. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
multiplication,"Prepare one slightly challenging multiplication word problem for a primary school student in the context of a bakery, with a product below 50. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
multiplication,"Prepare a single moderate question using repeated addition for a young math learner in the context of a camping trip, using facts from 2 to 10. Use whole numbers only. Give only the question as plain text. Do not include the solution."
multiplication,"Generate a single easy multiplication word problem for a young math learner in the context of a camping trip, using three equal groups. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
multiplication,"Make a single simple question about equal groups for an upper elementary student in the context of a camping trip, using facts from 2 to 5. Keep the question concise. Output only the question in text form, without hints or an answer."
multiplication,"Generate a single simple question about rows and columns described with words for an upper elementary student in the context of a playground, with a product below 50. Keep the question concise. Use plain text only and provide no solution or explanation."
multiplication,"Prepare a single easy question about equal groups for an elementary student in the context of a school cafeteria, using three equal groups. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
multiplication,"Create one slightly challenging question about equal groups for a primary school student in the context of a school library, using facts from 2 to 5. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
multiplication,"Create one simple question using repeated addition for a student learning basic mathematics in the context of a fruit shop, using facts from 2 to 5. Keep the question concise. Output only the question in text form, without hints or an answer."
multiplication,"Write one moderate multiplication word problem for a young math learner in the context of a bus trip, using three equal groups. Avoid unnecessary details. Give only the question as plain text. Do not include the solution."
multiplication,"Prepare a single slightly challenging short multiplication fact problem for a young math learner in the context of a birthday party, with a product below 50. Use one direct question at the end. Return one question only, written as plain text."
multiplication,"Make a single slightly challenging short multiplication fact problem for a primary school student in the context of a book fair, using four equal groups. Make the situation realistic. Return one question only, written as plain text."
multiplication,"Make one moderate multiplication word problem for an upper elementary student in the context of a sports day, with a product below 50. Use whole numbers only. Return one question only, written as plain text."
multiplication,"Create one moderate question about rows and columns described with words for a primary school student in the context of a science fair, using four equal groups. Keep the question concise. Give only the question as plain text. Do not include the solution."
multiplication,"Write one easy short multiplication fact problem for an elementary student in the context of a birthday party, using facts from 2 to 10. Avoid unnecessary details. Return one question only, written as plain text."
multiplication,"Prepare a single easy multiplication word problem for an elementary student in the context of a classroom, using four equal groups. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer."
multiplication,"Prepare a single easy question about rows and columns described with words for a young math learner in the context of a beach visit, using four equal groups. Make all needed information explicit. Return one question only, written as plain text."
multiplication,"Write a single slightly challenging question about equal groups for a student learning basic mathematics in the context of a school cafeteria, using facts from 2 to 5. Make the situation realistic. Use plain text only and provide no solution or explanation."
multiplication,"Generate one simple multiplication word problem for a student learning basic mathematics in the context of a book fair, using one-digit factors. Keep the question concise. Return only the question in plain text, with no answer or explanation."
multiplication,"Create a single moderate short multiplication fact problem for an elementary student in the context of a beach visit, using facts from 2 to 10. Use one direct question at the end. Return only the question in plain text, with no answer or explanation."
multiplication,"Create a single easy question about equal groups for a young math learner in the context of a science fair, using one-digit factors. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
multiplication,"Prepare a single simple question about rows and columns described with words for a young math learner in the context of a toy store, using three equal groups. Avoid unnecessary details. Return one question only, written as plain text."
multiplication,"Make one simple question about rows and columns described with words for an upper elementary student in the context of a pet shelter, using facts from 2 to 10. Keep the question concise. Output only the question in text form, without hints or an answer."
multiplication,"Write one easy question using repeated addition for a student learning basic mathematics in the context of a school cafeteria, with a product below 50. Keep the question concise. Return one question only, written as plain text."
multiplication,"Generate one moderate question using repeated addition for an upper elementary student in the context of a classroom, using one-digit factors. Make the situation realistic. Output only the question in text form, without hints or an answer."
multiplication,"Create one simple question about equal groups for a primary school student in the context of a music class, using one-digit factors. Make all needed information explicit. Return only the question in plain text, with no answer or explanation."
multiplication,"Generate a single slightly challenging short multiplication fact problem for an elementary student in the context of a sports day, using one-digit factors. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution."
multiplication,"Write a single basic multiplication word problem for a young math learner in the context of a science fair, using four equal groups. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation."
multiplication,"Generate a single simple question using repeated addition for a young math learner in the context of a camping trip, with a product below 100. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
multiplication,"Generate a single moderate question about equal groups for an elementary student in the context of a beach visit, using facts from 2 to 10. Use whole numbers only. Give only the question as plain text. Do not include the solution."
multiplication,"Generate one basic question about equal groups for a student learning basic mathematics in the context of a science fair, using four equal groups. Keep the question concise. Give only the question as plain text. Do not include the solution."
division,"Prepare one simple question about equal sharing for a young math learner in the context of a fruit shop, using divisors from 2 to 10. Keep the question concise. Return only the question in plain text, with no answer or explanation."
division,"Write a single easy question about equal sharing for an elementary student in the context of a birthday party, using a dividend below 100. Use one direct question at the end. Return one question only, written as plain text."
division,"Make one moderate question about making equal groups for an elementary student in the context of a school cafeteria, using divisors from 2 to 10. Use one direct question at the end. Return only the question in plain text, with no answer or explanation."
division,"Make one easy question about equal sharing for a young math learner in the context of a science fair, using divisors from 2 to 5. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation."
division,"Prepare one slightly challenging question about equal sharing for an upper elementary student in the context of a school cafeteria, with equal group sizes. Use whole numbers only. Use plain text only and provide no solution or explanation."
division,"Generate a single moderate question about making equal groups for a young math learner in the context of a community park, using a dividend below 50. Use whole numbers only. Give only the question as plain text. Do not include the solution."
division,"Write a single basic question about equal sharing for a young math learner in the context of a playground, with a small remainder. Use one direct question at the end. Return one question only, written as plain text."
division,"Prepare a single basic short division fact problem for a student learning basic mathematics in the context of a garden, with equal group sizes. Make the situation realistic. Return one question only, written as plain text."
division,"Create one slightly challenging division word problem for a student learning basic mathematics in the context of a toy store, using divisors from 2 to 5. Avoid unnecessary details. Give only the question as plain text. Do not include the solution."
division,"Prepare a single moderate question about making equal groups for a young math learner in the context of a beach visit, using a dividend below 100. Use familiar vocabulary. Return one question only, written as plain text."
division,"Write one basic question about making equal groups for a young math learner in the context of a bakery, with no remainder. Use whole numbers only. Return one question only, written as plain text."
division,"Generate a single slightly challenging division word problem for an upper elementary student in the context of a garden, using a dividend below 50. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
division,"Write a single easy division word problem for an elementary student in the context of a bus trip, using a simple sharing situation. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
division,"Make a single slightly challenging short division fact problem for an elementary student in the context of a fruit shop, using a simple sharing situation. Use whole numbers only. Give only the question as plain text. Do not include the solution."
division,"Create a single basic question asking how many groups can be formed for an upper elementary student in the context of a school library, using divisors from 2 to 10. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
division,"Create one moderate division word problem for a primary school student in the context of a family picnic, using a simple sharing situation. Make the situation realistic. Output only the question in text form, without hints or an answer."
division,"Create a single moderate division word problem for a student learning basic mathematics in the context of a garden, using a simple sharing situation. Make the situation realistic. Use plain text only and provide no solution or explanation."
division,"Generate a single moderate question asking how many groups can be formed for a primary school student in the context of a community park, using a dividend below 50. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
division,"Make a single moderate short division fact problem for an elementary student in the context of a sports day, with no remainder. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
division,"Create one simple question asking how many groups can be formed for an elementary student in the context of a family picnic, using a simple sharing situation. Use one direct question at the end. Return one question only, written as plain text."
division,"Prepare a single simple question asking how many groups can be formed for a young math learner in the context of a community park, using a dividend below 50. Use one direct question at the end. Return only the question in plain text, with no answer or explanation."
division,"Create a single slightly challenging question asking how many groups can be formed for a young math learner in the context of a sports day, using a simple sharing situation. Make the situation realistic. Give only the question as plain text. Do not include the solution."
division,"Write a single moderate question asking how many groups can be formed for a student learning basic mathematics in the context of a garden, using a dividend below 50. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
division,"Write a single easy division word problem for an upper elementary student in the context of a pet shelter, using a dividend below 50. Use whole numbers only. Give only the question as plain text. Do not include the solution."
division,"Generate a single moderate question about making equal groups for a student learning basic mathematics in the context of a bus trip, using a dividend below 50. Keep the question concise. Use plain text only and provide no solution or explanation."
division,"Make one moderate question about making equal groups for a young math learner in the context of a farm, with a small remainder. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
division,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
division,"Make one moderate question about equal sharing for a primary school student in the context of a classroom, using divisors from 2 to 10. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation."
division,"Write one simple question about equal sharing for a primary school student in the context of a playground, with a small remainder. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
division,"Prepare one simple short division fact problem for a student learning basic mathematics in the context of a classroom, using a dividend below 50. Make all needed information explicit. Return one question only, written as plain text."
division,"Create a single easy question about making equal groups for a student learning basic mathematics in the context of a bus trip, using divisors from 2 to 5. Use one direct question at the end. Return only the question in plain text, with no answer or explanation."
division,"Generate one simple question asking how many groups can be formed for an elementary student in the context of a bakery, with equal group sizes. Use whole numbers only. Output only the question in text form, without hints or an answer."
division,"Generate one easy question about equal sharing for a student learning basic mathematics in the context of a toy store, with no remainder. Keep the question concise. Use plain text only and provide no solution or explanation."
division,"Write a single moderate division word problem for a student learning basic mathematics in the context of a toy store, using a dividend below 100. Make the situation realistic. Return one question only, written as plain text."
division,"Generate a single basic question asking how many groups can be formed for a young math learner in the context of a toy store, using a dividend below 50. Make all needed information explicit. Output only the question in text form, without hints or an answer."
division,"Prepare a single easy short division fact problem for an upper elementary student in the context of a family picnic, using a dividend below 100. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
division,"Generate one easy short division fact problem for an elementary student in the context of a bus trip, with equal group sizes. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
division,"Generate one slightly challenging short division fact problem for a young math learner in the context of a school cafeteria, with no remainder. Use one direct question at the end. Output only the question in text form, without hints or an answer."
division,"Generate one moderate question about making equal groups for an upper elementary student in the context of a classroom, with equal group sizes. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation."
division,"Create a single easy question asking how many groups can be formed for a young math learner in the context of a garden, with no remainder. Avoid unnecessary details. Return one question only, written as plain text."
division,"Prepare one moderate question asking how many groups can be formed for a primary school student in the context of a community park, using a dividend below 100. Make the situation realistic. Output only the question in text form, without hints or an answer."
division,"Prepare a single easy division word problem for an upper elementary student in the context of a music class, using divisors from 2 to 10. Use familiar vocabulary. Give only the question as plain text. Do not include the solution."
division,"Write a single basic question about making equal groups for an elementary student in the context of a bakery, using a dividend below 100. Use familiar vocabulary. Return only the question in plain text, with no answer or explanation."
division,"Generate a single moderate division word problem for a young math learner in the context of a fruit shop, using a dividend below 100. Make all needed information explicit. Return only the question in plain text, with no answer or explanation."
division,"Create one slightly challenging question about equal sharing for an upper elementary student in the context of a garden, using a dividend below 100. Use familiar vocabulary. Return one question only, written as plain text."
division,"Write a single basic question about equal sharing for an upper elementary student in the context of a classroom, with equal group sizes. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer."
division,"Prepare a single basic question about making equal groups for a young math learner in the context of a music class, using divisors from 2 to 5. Make the situation realistic. Give only the question as plain text. Do not include the solution."
division,"Write one simple division word problem for a young math learner in the context of a classroom, using a dividend below 100. Make the situation realistic. Use plain text only and provide no solution or explanation."
division,"Prepare one moderate question about equal sharing for an upper elementary student in the context of a music class, using a dividend below 100. Make all needed information explicit. Return one question only, written as plain text."
division,"Create one easy question asking how many groups can be formed for a primary school student in the context of a toy store, with no remainder. Avoid unnecessary details. Use plain text only and provide no solution or explanation."
division,"Write one moderate question about making equal groups for a primary school student in the context of a sports day, with no remainder. Make all needed information explicit. Use plain text only and provide no solution or explanation."
division,"Write a single simple question about equal sharing for a student learning basic mathematics in the context of a school cafeteria, using divisors from 2 to 10. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
division,"Write a single basic question about equal sharing for a young math learner in the context of a garden, with equal group sizes. Use one direct question at the end. Give only the question as plain text. Do not include the solution."
division,"Create a single simple question asking how many groups can be formed for an upper elementary student in the context of a family picnic, using a dividend below 100. Make all needed information explicit. Return one question only, written as plain text."
division,"Prepare one easy question about making equal groups for an elementary student in the context of a sports day, using a simple sharing situation. Make all needed information explicit. Return only the question in plain text, with no answer or explanation."
division,"Write one simple question about making equal groups for a young math learner in the context of a school cafeteria, using a dividend below 100. Make all needed information explicit. Use plain text only and provide no solution or explanation."
division,"Generate one basic question about equal sharing for a young math learner in the context of a fruit shop, using a dividend below 50. Use familiar vocabulary. Return one question only, written as plain text."
division,"Prepare one easy short division fact problem for a primary school student in the context of a bus trip, with a small remainder. Make all needed information explicit. Give only the question as plain text. Do not include the solution."
division,"Prepare one basic short division fact problem for an upper elementary student in the context of a playground, using divisors from 2 to 5. Make all needed information explicit. Return one question only, written as plain text."
division,"Make one simple short division fact problem for a primary school student in the context of a book fair, using divisors from 2 to 5. Avoid unnecessary details. Return one question only, written as plain text."
division,"Make one easy question about making equal groups for a primary school student in the context of a camping trip, with no remainder. Keep the question concise. Return one question only, written as plain text."
division,"Create one simple question asking how many groups can be formed for a student learning basic mathematics in the context of a pet shelter, using a dividend below 50. Keep the question concise. Output only the question in text form, without hints or an answer."
division,"Write one easy question about making equal groups for a student learning basic mathematics in the context of a playground, using divisors from 2 to 5. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution."
division,"Write one simple question about equal sharing for a young math learner in the context of a toy store, using a dividend below 50. Use familiar vocabulary. Use plain text only and provide no solution or explanation."
division,"Write one slightly challenging question about equal sharing for a young math learner in the context of a garden, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text."
division,"Create one easy question about making equal groups for a young math learner in the context of a classroom, with equal group sizes. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
division,"Write one slightly challenging division word problem for a young math learner in the context of a playground, using a dividend below 100. Keep the question concise. Use plain text only and provide no solution or explanation."
division,"Prepare a single moderate question about making equal groups for a primary school student in the context of a family picnic, with no remainder. Make all needed information explicit. Return one question only, written as plain text."
division,"Generate one simple question about making equal groups for a student learning basic mathematics in the context of a book fair, using a dividend below 50. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
