skill,prompt
subtraction,"Write a simple challenge question where students find how many garden plants remain after some are removed. Ask for a written answer, not a drawing."
subtraction,Create a real-life classroom problem about subtracting quantities of books. Make it slightly challenging. Include the correct answer.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of classroom chairs. Make it moderate. Make the numbers easy to calculate mentally.
subtraction,Create a simple challenge question about subtracting quantities of animals on a farm. Make it easy. Avoid decimals and negative numbers.
subtraction,Create a multiple-choice question with four options about subtracting quantities of stickers. Make it moderate. Make the numbers easy to calculate mentally.
subtraction,Generate a fill-in-the-blank question that teaches subtraction as taking away in a situation involving coins. Make the numbers easy to calculate mentally.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of school supplies. Make it easy. Include the correct answer.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of flowers. Make it easy. Include the correct answer.
subtraction,Create a two-step problem about subtracting quantities of fruit baskets. Make it easy. Keep the question under 45 words.
subtraction,Generate a two-step problem that asks for the difference between two quantities of water bottles. Use whole numbers only.
subtraction,Generate a two-step problem that teaches subtraction as taking away in a situation involving coins. Use simple vocabulary suitable for elementary students.
subtraction,Create a multiple-choice question with four options about subtracting quantities of sports balls. Make it very easy. Make the numbers easy to calculate mentally.
subtraction,Create a short word problem about finding a missing part using subtraction and water bottles. Add one short hint.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of stickers. Make it slightly challenging. Include the correct answer.
subtraction,Create a simple challenge question about subtracting quantities of water bottles. Make it moderate. Avoid decimals and negative numbers.
subtraction,Create a real-life classroom problem about subtracting quantities of marbles. Make it easy. Include the correct answer.
subtraction,Generate a question that asks students to explain their reasoning that teaches subtraction as taking away in a situation involving toy cars. Make the numbers easy to calculate mentally.
subtraction,Create a two-step problem about subtracting quantities of pencils. Make it very easy. Keep the question under 45 words.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of marbles. Make it slightly challenging. Use whole numbers only.
subtraction,Create a true-or-false question with a brief explanation about finding a missing part using subtraction and fruit baskets. Include the correct answer.
subtraction,Generate a real-life classroom problem that asks for the difference between two quantities of books. Avoid decimals and negative numbers.
subtraction,Create a fill-in-the-blank question about finding a missing part using subtraction and books. Add one short hint.
subtraction,Create a fill-in-the-blank question about subtracting quantities of birthday candles. Make it moderate. Include the correct answer.
subtraction,Create a simple challenge question about subtracting quantities of sports balls. Make it easy. Use whole numbers only.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of colored blocks. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
subtraction,Write a true-or-false question with a brief explanation where students subtract a smaller whole number from a larger one using stickers. Keep the question under 45 words.
subtraction,Create a short word problem about subtracting quantities of marbles. Make it slightly challenging. Avoid decimals and negative numbers.
subtraction,Create a two-step problem about subtracting quantities of notebooks. Make it very easy. Add one short hint.
subtraction,"Generate a true-or-false question with a brief explanation that asks for the difference between two quantities of recycling bins. Ask for a written answer, not a drawing."
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of books. Make it easy. Include the correct answer.
subtraction,"Create a short word problem about subtracting quantities of notebooks. Make it very easy. Ask for a written answer, not a drawing."
subtraction,Generate a fill-in-the-blank question that teaches subtraction as taking away in a situation involving colored blocks. Include the correct answer.
subtraction,Generate a true-or-false question with a brief explanation that asks for the difference between two quantities of cookies. Avoid decimals and negative numbers.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of pencils. Make it easy. Use whole numbers only.
subtraction,Create a question that asks students to explain their reasoning about finding a missing part using subtraction and water bottles. Avoid decimals and negative numbers.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of toy cars. Make it very easy. Use whole numbers only.
subtraction,Create a simple challenge question about subtracting quantities of notebooks. Make it slightly challenging. Include the correct answer.
subtraction,Write a simple challenge question where students find how many flowers remain after some are removed. Include the correct answer.
subtraction,Generate a fill-in-the-blank question that teaches subtraction as taking away in a situation involving pencils. Use simple vocabulary suitable for elementary students.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of books. Make it very easy. Keep the question under 45 words.
subtraction,Create a simple challenge question about subtracting quantities of colored blocks. Make it moderate. Use whole numbers only.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of recycling bins. Make it easy. Use whole numbers only.
subtraction,Create a fill-in-the-blank question about subtracting quantities of marbles. Make it very easy. Use whole numbers only.
subtraction,Create a multiple-choice question with four options about subtracting quantities of birthday candles. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
subtraction,Generate a two-step problem that asks for the difference between two quantities of school supplies. Use simple vocabulary suitable for elementary students.
subtraction,Generate a multiple-choice question with four options that asks for the difference between two quantities of birthday candles. Use whole numbers only.
subtraction,Write a true-or-false question with a brief explanation where students find how many marbles remain after some are removed. Use simple vocabulary suitable for elementary students.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of notebooks. Make it slightly challenging. Keep the question under 45 words.
subtraction,Create a two-step problem about subtracting quantities of pencils. Make it moderate. Use whole numbers only.
subtraction,Create a real-life classroom problem about subtracting quantities of marbles. Make it very easy. Add one short hint.
subtraction,Create a true-or-false question with a brief explanation about finding a missing part using subtraction and colored blocks. Avoid decimals and negative numbers.
subtraction,Generate a true-or-false question with a brief explanation that teaches subtraction as taking away in a situation involving bus passengers. Add one short hint.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of classroom chairs. Make it slightly challenging. Make the numbers easy to calculate mentally.
subtraction,Create a fill-in-the-blank question about subtracting quantities of recycling bins. Make it slightly challenging. Make the numbers easy to calculate mentally.
subtraction,Write a multiple-choice question with four options where students subtract a smaller whole number from a larger one using toy cars. Make the numbers easy to calculate mentally.
subtraction,Create a multiple-choice question with four options about subtracting quantities of pencils. Make it slightly challenging. Keep the question under 45 words.
subtraction,Create a simple challenge question about subtracting quantities of sports balls. Make it moderate. Include the correct answer.
subtraction,Write a simple challenge question where students subtract a smaller whole number from a larger one using animals on a farm. Keep the question under 45 words.
subtraction,Create a question that asks students to explain their reasoning about finding a missing part using subtraction and pencils. Make the numbers easy to calculate mentally.
subtraction,Generate a fill-in-the-blank question that teaches subtraction as taking away in a situation involving animals on a farm. Make the numbers easy to calculate mentally.
subtraction,Write a true-or-false question with a brief explanation where students subtract a smaller whole number from a larger one using school supplies. Keep the question under 45 words.
subtraction,Write a fill-in-the-blank question where students subtract a smaller whole number from a larger one using school supplies. Add one short hint.
subtraction,Write a real-life classroom problem where students subtract a smaller whole number from a larger one using garden plants. Keep the question under 45 words.
subtraction,Create a multiple-choice question with four options about subtracting quantities of stickers. Make it easy. Add one short hint.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of bus passengers. Make it easy. Use whole numbers only.
subtraction,Create a real-life classroom problem about finding a missing part using subtraction and bus passengers. Use whole numbers only.
subtraction,Create a short word problem about subtracting quantities of pencils. Make it moderate. Use whole numbers only.
subtraction,Create a real-life classroom problem about subtracting quantities of books. Make it easy. Use whole numbers only.
subtraction,Generate a question that asks students to explain their reasoning that teaches subtraction as taking away in a situation involving birthday candles. Use simple vocabulary suitable for elementary students.
subtraction,Write a short word problem where students find how many garden plants remain after some are removed. Use simple vocabulary suitable for elementary students.
subtraction,"Create a question that asks students to explain their reasoning about subtracting quantities of birthday candles. Make it easy. Ask for a written answer, not a drawing."
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of marbles. Make it moderate. Keep the question under 45 words.
subtraction,Create a fill-in-the-blank question about finding a missing part using subtraction and classroom chairs. Add one short hint.
subtraction,Generate a true-or-false question with a brief explanation that asks for the difference between two quantities of notebooks. Use whole numbers only.
subtraction,Create a multiple-choice question with four options about finding a missing part using subtraction and marbles. Make the numbers easy to calculate mentally.
subtraction,Generate a two-step problem that teaches subtraction as taking away in a situation involving water bottles. Add one short hint.
subtraction,Write a true-or-false question with a brief explanation where students subtract a smaller whole number from a larger one using pencils. Avoid decimals and negative numbers.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of cookies. Make it very easy. Add one short hint.
subtraction,Generate a question that asks students to explain their reasoning that teaches subtraction as taking away in a situation involving notebooks. Make the numbers easy to calculate mentally.
subtraction,Create a two-step problem about subtracting quantities of garden plants. Make it easy. Make the numbers easy to calculate mentally.
subtraction,Write a two-step problem where students find how many school supplies remain after some are removed. Include the correct answer.
subtraction,Generate a fill-in-the-blank question that asks for the difference between two quantities of fruit baskets. Keep the question under 45 words.
subtraction,"Create a true-or-false question with a brief explanation about subtracting quantities of notebooks. Make it moderate. Ask for a written answer, not a drawing."
subtraction,Create a true-or-false question with a brief explanation about finding a missing part using subtraction and recycling bins. Keep the question under 45 words.
subtraction,Create a simple challenge question about subtracting quantities of notebooks. Make it moderate. Avoid decimals and negative numbers.
subtraction,Create a simple challenge question about subtracting quantities of books. Make it slightly challenging. Add one short hint.
subtraction,Create a short word problem about subtracting quantities of school supplies. Make it moderate. Use simple vocabulary suitable for elementary students.
subtraction,Generate a multiple-choice question with four options that teaches subtraction as taking away in a situation involving cookies. Use whole numbers only.
subtraction,Create a multiple-choice question with four options about subtracting quantities of pencils. Make it easy. Avoid decimals and negative numbers.
subtraction,Create a simple challenge question about subtracting quantities of marbles. Make it easy. Use whole numbers only.
subtraction,Generate a true-or-false question with a brief explanation that asks for the difference between two quantities of toy cars. Make the numbers easy to calculate mentally.
subtraction,Generate a multiple-choice question with four options that teaches subtraction as taking away in a situation involving toy cars. Use whole numbers only.
subtraction,Generate a short word problem that teaches subtraction as taking away in a situation involving sports balls. Include the correct answer.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of flowers. Make it easy. Keep the question under 45 words.
subtraction,Create a two-step problem about subtracting quantities of notebooks. Make it easy. Use whole numbers only.
subtraction,Generate a true-or-false question with a brief explanation that asks for the difference between two quantities of marbles. Make the numbers easy to calculate mentally.
subtraction,Create a short word problem about subtracting quantities of coins. Make it very easy. Use whole numbers only.
subtraction,Write a short word problem where students subtract a smaller whole number from a larger one using school supplies. Use simple vocabulary suitable for elementary students.
subtraction,Create a real-life classroom problem about subtracting quantities of school supplies. Make it moderate. Keep the question under 45 words.
subtraction,Create a two-step problem about subtracting quantities of garden plants. Make it moderate. Avoid decimals and negative numbers.
subtraction,Create a simple challenge question about subtracting quantities of water bottles. Make it very easy. Add one short hint.
subtraction,Write a fill-in-the-blank question where students find how many coins remain after some are removed. Use whole numbers only.
subtraction,Write a real-life classroom problem where students find how many colored blocks remain after some are removed. Make the numbers easy to calculate mentally.
subtraction,Write a simple challenge question where students find how many toy cars remain after some are removed. Use whole numbers only.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of books. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
subtraction,Create a multiple-choice question with four options about subtracting quantities of cookies. Make it slightly challenging. Add one short hint.
subtraction,Create a short word problem about subtracting quantities of stickers. Make it moderate. Add one short hint.
subtraction,Create a multiple-choice question with four options about finding a missing part using subtraction and marbles. Include the correct answer.
subtraction,Generate a multiple-choice question with four options that teaches subtraction as taking away in a situation involving recycling bins. Use simple vocabulary suitable for elementary students.
subtraction,"Write a true-or-false question with a brief explanation where students find how many colored blocks remain after some are removed. Ask for a written answer, not a drawing."
subtraction,Write a real-life classroom problem where students subtract a smaller whole number from a larger one using stickers. Use whole numbers only.
subtraction,Generate a short word problem that asks for the difference between two quantities of bus passengers. Include the correct answer.
subtraction,Create a real-life classroom problem about finding a missing part using subtraction and cookies. Add one short hint.
subtraction,Create a multiple-choice question with four options about subtracting quantities of water bottles. Make it very easy. Include the correct answer.
subtraction,Write a question that asks students to explain their reasoning where students find how many pencils remain after some are removed. Keep the question under 45 words.
subtraction,"Generate a multiple-choice question with four options that teaches subtraction as taking away in a situation involving fruit baskets. Ask for a written answer, not a drawing."
subtraction,Write a real-life classroom problem where students find how many flowers remain after some are removed. Use simple vocabulary suitable for elementary students.
subtraction,Generate a true-or-false question with a brief explanation that teaches subtraction as taking away in a situation involving flowers. Use simple vocabulary suitable for elementary students.
subtraction,Generate a multiple-choice question with four options that asks for the difference between two quantities of animals on a farm. Keep the question under 45 words.
subtraction,Create a simple challenge question about subtracting quantities of fruit baskets. Make it moderate. Include the correct answer.
subtraction,Create a fill-in-the-blank question about subtracting quantities of bus passengers. Make it easy. Include the correct answer.
subtraction,Generate a simple challenge question that asks for the difference between two quantities of garden plants. Use simple vocabulary suitable for elementary students.
subtraction,Write a real-life classroom problem where students find how many sports balls remain after some are removed. Use simple vocabulary suitable for elementary students.
subtraction,Create a simple challenge question about subtracting quantities of animals on a farm. Make it slightly challenging. Make the numbers easy to calculate mentally.
subtraction,Create a two-step problem about finding a missing part using subtraction and water bottles. Avoid decimals and negative numbers.
subtraction,"Create a short word problem about subtracting quantities of colored blocks. Make it easy. Ask for a written answer, not a drawing."
subtraction,Create a short word problem about subtracting quantities of cookies. Make it very easy. Include the correct answer.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of bus passengers. Make it easy. Add one short hint.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of cookies. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
subtraction,Generate a fill-in-the-blank question that asks for the difference between two quantities of bus passengers. Use whole numbers only.
subtraction,Generate a short word problem that teaches subtraction as taking away in a situation involving notebooks. Add one short hint.
subtraction,"Write a question that asks students to explain their reasoning where students find how many water bottles remain after some are removed. Ask for a written answer, not a drawing."
subtraction,Create a multiple-choice question with four options about subtracting quantities of flowers. Make it easy. Avoid decimals and negative numbers.
subtraction,Create a fill-in-the-blank question about subtracting quantities of classroom chairs. Make it slightly challenging. Make the numbers easy to calculate mentally.
subtraction,Generate a real-life classroom problem that teaches subtraction as taking away in a situation involving flowers. Use whole numbers only.
subtraction,Generate a fill-in-the-blank question that teaches subtraction as taking away in a situation involving water bottles. Make the numbers easy to calculate mentally.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of animals on a farm. Make it very easy. Use simple vocabulary suitable for elementary students.
subtraction,Create a multiple-choice question with four options about subtracting quantities of flowers. Make it slightly challenging. Include the correct answer.
subtraction,Create a real-life classroom problem about subtracting quantities of birthday candles. Make it slightly challenging. Keep the question under 45 words.
subtraction,Write a two-step problem where students find how many pencils remain after some are removed. Use whole numbers only.
subtraction,Generate a multiple-choice question with four options that teaches subtraction as taking away in a situation involving cookies. Keep the question under 45 words.
subtraction,"Create a true-or-false question with a brief explanation about finding a missing part using subtraction and water bottles. Ask for a written answer, not a drawing."
subtraction,Write a two-step problem where students find how many flowers remain after some are removed. Avoid decimals and negative numbers.
subtraction,Generate a true-or-false question with a brief explanation that asks for the difference between two quantities of sports balls. Keep the question under 45 words.
subtraction,Generate a two-step problem that teaches subtraction as taking away in a situation involving cookies. Use simple vocabulary suitable for elementary students.
subtraction,Generate a fill-in-the-blank question that asks for the difference between two quantities of birthday candles. Use whole numbers only.
subtraction,"Create a short word problem about subtracting quantities of school supplies. Make it easy. Ask for a written answer, not a drawing."
subtraction,Write a multiple-choice question with four options where students find how many pencils remain after some are removed. Avoid decimals and negative numbers.
subtraction,Create a two-step problem about subtracting quantities of birthday candles. Make it moderate. Add one short hint.
subtraction,Create a simple challenge question about subtracting quantities of garden plants. Make it easy. Keep the question under 45 words.
subtraction,Generate a real-life classroom problem that teaches subtraction as taking away in a situation involving animals on a farm. Avoid decimals and negative numbers.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of classroom chairs. Make it slightly challenging. Use simple vocabulary suitable for elementary students.
subtraction,Generate a simple challenge question that teaches subtraction as taking away in a situation involving coins. Avoid decimals and negative numbers.
subtraction,Create a simple challenge question about subtracting quantities of sports balls. Make it very easy. Keep the question under 45 words.
subtraction,Create a simple challenge question about subtracting quantities of recycling bins. Make it easy. Make the numbers easy to calculate mentally.
subtraction,"Create a real-life classroom problem about finding a missing part using subtraction and recycling bins. Ask for a written answer, not a drawing."
subtraction,Write a simple challenge question where students subtract a smaller whole number from a larger one using toy cars. Avoid decimals and negative numbers.
subtraction,Generate a two-step problem that asks for the difference between two quantities of toy cars. Avoid decimals and negative numbers.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of fruit baskets. Make it slightly challenging. Make the numbers easy to calculate mentally.
subtraction,"Generate a multiple-choice question with four options that teaches subtraction as taking away in a situation involving recycling bins. Ask for a written answer, not a drawing."
subtraction,Write a fill-in-the-blank question where students subtract a smaller whole number from a larger one using sports balls. Keep the question under 45 words.
subtraction,"Create a true-or-false question with a brief explanation about finding a missing part using subtraction and coins. Ask for a written answer, not a drawing."
subtraction,Create a simple challenge question about subtracting quantities of books. Make it moderate. Use simple vocabulary suitable for elementary students.
subtraction,Write a fill-in-the-blank question where students subtract a smaller whole number from a larger one using school supplies. Include the correct answer.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of garden plants. Make it slightly challenging. Include the correct answer.
subtraction,Generate a true-or-false question with a brief explanation that teaches subtraction as taking away in a situation involving colored blocks. Avoid decimals and negative numbers.
subtraction,Create a short word problem about subtracting quantities of garden plants. Make it very easy. Avoid decimals and negative numbers.
subtraction,Create a true-or-false question with a brief explanation about subtracting quantities of sports balls. Make it easy. Keep the question under 45 words.
subtraction,Create a multiple-choice question with four options about subtracting quantities of birthday candles. Make it moderate. Avoid decimals and negative numbers.
subtraction,Create a multiple-choice question with four options about subtracting quantities of water bottles. Make it moderate. Use whole numbers only.
subtraction,Generate a fill-in-the-blank question that teaches subtraction as taking away in a situation involving birthday candles. Use simple vocabulary suitable for elementary students.
subtraction,Create a short word problem about subtracting quantities of classroom chairs. Make it slightly challenging. Make the numbers easy to calculate mentally.
subtraction,Create a simple challenge question about subtracting quantities of sports balls. Make it very easy. Avoid decimals and negative numbers.
subtraction,Generate a multiple-choice question with four options that asks for the difference between two quantities of toy cars. Keep the question under 45 words.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of bus passengers. Make it slightly challenging. Make the numbers easy to calculate mentally.
subtraction,"Generate a question that asks students to explain their reasoning that asks for the difference between two quantities of flowers. Ask for a written answer, not a drawing."
subtraction,Generate a question that asks students to explain their reasoning that asks for the difference between two quantities of water bottles. Include the correct answer.
subtraction,"Create a real-life classroom problem about subtracting quantities of recycling bins. Make it moderate. Ask for a written answer, not a drawing."
subtraction,Write a fill-in-the-blank question where students find how many flowers remain after some are removed. Avoid decimals and negative numbers.
subtraction,Generate a simple challenge question that teaches subtraction as taking away in a situation involving fruit baskets. Use whole numbers only.
subtraction,Write a true-or-false question with a brief explanation where students find how many birthday candles remain after some are removed. Keep the question under 45 words.
subtraction,Generate a two-step problem that teaches subtraction as taking away in a situation involving stickers. Include the correct answer.
subtraction,Create a real-life classroom problem about subtracting quantities of recycling bins. Make it easy. Include the correct answer.
subtraction,"Create a real-life classroom problem about subtracting quantities of garden plants. Make it moderate. Ask for a written answer, not a drawing."
subtraction,Create a short word problem about subtracting quantities of coins. Make it slightly challenging. Avoid decimals and negative numbers.
subtraction,Create a two-step problem about subtracting quantities of coins. Make it slightly challenging. Make the numbers easy to calculate mentally.
subtraction,Create a short word problem about subtracting quantities of garden plants. Make it easy. Use simple vocabulary suitable for elementary students.
subtraction,Create a short word problem about subtracting quantities of recycling bins. Make it easy. Use whole numbers only.
subtraction,"Create a real-life classroom problem about subtracting quantities of fruit baskets. Make it moderate. Ask for a written answer, not a drawing."
subtraction,Create a two-step problem about subtracting quantities of toy cars. Make it moderate. Use simple vocabulary suitable for elementary students.
subtraction,Write a true-or-false question with a brief explanation where students find how many bus passengers remain after some are removed. Make the numbers easy to calculate mentally.
subtraction,Create a two-step problem about subtracting quantities of school supplies. Make it moderate. Include the correct answer.
subtraction,"Create a two-step problem about subtracting quantities of classroom chairs. Make it very easy. Ask for a written answer, not a drawing."
subtraction,Generate a fill-in-the-blank question that teaches subtraction as taking away in a situation involving stickers. Make the numbers easy to calculate mentally.
subtraction,"Write a simple challenge question where students subtract a smaller whole number from a larger one using sports balls. Ask for a written answer, not a drawing."
subtraction,Create a short word problem about finding a missing part using subtraction and books. Include the correct answer.
subtraction,"Generate a question that asks students to explain their reasoning that teaches subtraction as taking away in a situation involving notebooks. Ask for a written answer, not a drawing."
subtraction,"Generate a fill-in-the-blank question that asks for the difference between two quantities of pencils. Ask for a written answer, not a drawing."
subtraction,Create a two-step problem about subtracting quantities of marbles. Make it moderate. Include the correct answer.
subtraction,"Create a multiple-choice question with four options about subtracting quantities of toy cars. Make it slightly challenging. Ask for a written answer, not a drawing."
subtraction,Write a simple challenge question where students subtract a smaller whole number from a larger one using animals on a farm. Make the numbers easy to calculate mentally.
subtraction,Write a real-life classroom problem where students find how many recycling bins remain after some are removed. Keep the question under 45 words.
subtraction,Create a short word problem about subtracting quantities of pencils. Make it easy. Make the numbers easy to calculate mentally.
subtraction,"Create a question that asks students to explain their reasoning about finding a missing part using subtraction and notebooks. Ask for a written answer, not a drawing."
subtraction,Write a true-or-false question with a brief explanation where students subtract a smaller whole number from a larger one using coins. Use whole numbers only.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of school supplies. Make it slightly challenging. Add one short hint.
subtraction,Create a question that asks students to explain their reasoning about subtracting quantities of birthday candles. Make it very easy. Make the numbers easy to calculate mentally.
subtraction,Create a short word problem about subtracting quantities of toy cars. Make it very easy. Keep the question under 45 words.
subtraction,Write a two-step problem where students subtract a smaller whole number from a larger one using school supplies. Avoid decimals and negative numbers.
subtraction,Write a multiple-choice question with four options where students subtract a smaller whole number from a larger one using colored blocks. Use simple vocabulary suitable for elementary students.
subtraction,"Create a short word problem about subtracting quantities of fruit baskets. Make it easy. Ask for a written answer, not a drawing."
subtraction,Create a short word problem about subtracting quantities of fruit baskets. Make it very easy. Make the numbers easy to calculate mentally.
division-multiplication,Create a simple challenge question about marbles that uses both multiplication and division. Make it easy. Keep the question under 45 words.
division-multiplication,Write a simple challenge question where students decide whether multiplication or division is needed in a situation with fruit baskets. Use whole numbers only.
division-multiplication,Generate a question that asks students to explain their reasoning that connects a multiplication fact with its related division fact using coins. Keep the question under 45 words.
division-multiplication,"Create a multiple-choice question with four options about recycling bins that uses both multiplication and division. Make it slightly challenging. Ask for a written answer, not a drawing."
division-multiplication,Create a short word problem about bus passengers that uses both multiplication and division. Make it very easy. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a question that asks students to explain their reasoning about recycling bins that uses both multiplication and division. Make it moderate. Use simple vocabulary suitable for elementary students.
division-multiplication,Write a two-step problem where equal groups of coins are formed and then divided. Avoid decimals and negative numbers.
division-multiplication,Write a two-step problem where students decide whether multiplication or division is needed in a situation with stickers. Add one short hint.
division-multiplication,Create a real-life classroom problem about pencils that uses both multiplication and division. Make it very easy. Add one short hint.
division-multiplication,"Create a multiple-choice question with four options about bus passengers that uses both multiplication and division. Make it moderate. Ask for a written answer, not a drawing."
division-multiplication,Create a short word problem about arrays or equal groups using toy cars. Include one multiplication and one division step. Add one short hint.
division-multiplication,Create a real-life classroom problem about classroom chairs that uses both multiplication and division. Make it moderate. Include the correct answer.
division-multiplication,Create a real-life classroom problem about arrays or equal groups using animals on a farm. Include one multiplication and one division step. Make the numbers easy to calculate mentally.
division-multiplication,"Generate a multiple-choice question with four options that connects a multiplication fact with its related division fact using fruit baskets. Ask for a written answer, not a drawing."
division-multiplication,Write a two-step problem where students decide whether multiplication or division is needed in a situation with marbles. Use whole numbers only.
division-multiplication,Create a fill-in-the-blank question about sports balls that uses both multiplication and division. Make it very easy. Add one short hint.
division-multiplication,Create a question that asks students to explain their reasoning about classroom chairs that uses both multiplication and division. Make it easy. Make the numbers easy to calculate mentally.
division-multiplication,Generate a simple challenge question that asks students to multiply to find a total and divide to share equally. Use colored blocks. Avoid decimals and negative numbers.
division-multiplication,Write a two-step problem where equal groups of fruit baskets are formed and then divided. Use whole numbers only.
division-multiplication,Write a simple challenge question where equal groups of animals on a farm are formed and then divided. Make the numbers easy to calculate mentally.
division-multiplication,Create a real-life classroom problem about arrays or equal groups using sports balls. Include one multiplication and one division step. Keep the question under 45 words.
division-multiplication,Create a real-life classroom problem about books that uses both multiplication and division. Make it slightly challenging. Include the correct answer.
division-multiplication,Create a true-or-false question with a brief explanation about flowers that uses both multiplication and division. Make it easy. Keep the question under 45 words.
division-multiplication,Generate a multiple-choice question with four options that asks students to multiply to find a total and divide to share equally. Use garden plants. Add one short hint.
division-multiplication,Generate a simple challenge question that connects a multiplication fact with its related division fact using cookies. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a real-life classroom problem about marbles that uses both multiplication and division. Make it slightly challenging. Include the correct answer.
division-multiplication,Write a two-step problem where students decide whether multiplication or division is needed in a situation with notebooks. Use whole numbers only.
division-multiplication,Create a question that asks students to explain their reasoning about marbles that uses both multiplication and division. Make it moderate. Avoid decimals and negative numbers.
division-multiplication,Create a short word problem about birthday candles that uses both multiplication and division. Make it easy. Include the correct answer.
division-multiplication,Write a real-life classroom problem where students decide whether multiplication or division is needed in a situation with coins. Include the correct answer.
division-multiplication,Create a question that asks students to explain their reasoning about arrays or equal groups using garden plants. Include one multiplication and one division step. Add one short hint.
division-multiplication,Create a simple challenge question about arrays or equal groups using recycling bins. Include one multiplication and one division step. Include the correct answer.
division-multiplication,Create a fill-in-the-blank question about water bottles that uses both multiplication and division. Make it slightly challenging. Keep the question under 45 words.
division-multiplication,Write a fill-in-the-blank question where equal groups of stickers are formed and then divided. Keep the question under 45 words.
division-multiplication,Create a multiple-choice question with four options about coins that uses both multiplication and division. Make it easy. Avoid decimals and negative numbers.
division-multiplication,Create a two-step problem about sports balls that uses both multiplication and division. Make it easy. Include the correct answer.
division-multiplication,Create a two-step problem about toy cars that uses both multiplication and division. Make it very easy. Add one short hint.
division-multiplication,Create a question that asks students to explain their reasoning about arrays or equal groups using school supplies. Include one multiplication and one division step. Keep the question under 45 words.
division-multiplication,Create a short word problem about garden plants that uses both multiplication and division. Make it easy. Avoid decimals and negative numbers.
division-multiplication,Generate a true-or-false question with a brief explanation that connects a multiplication fact with its related division fact using pencils. Use whole numbers only.
division-multiplication,"Generate a real-life classroom problem that connects a multiplication fact with its related division fact using toy cars. Ask for a written answer, not a drawing."
division-multiplication,Write a fill-in-the-blank question where students decide whether multiplication or division is needed in a situation with flowers. Use whole numbers only.
division-multiplication,Write a simple challenge question where equal groups of toy cars are formed and then divided. Include the correct answer.
division-multiplication,Create a true-or-false question with a brief explanation about arrays or equal groups using cookies. Include one multiplication and one division step. Avoid decimals and negative numbers.
division-multiplication,Write a true-or-false question with a brief explanation where equal groups of stickers are formed and then divided. Add one short hint.
division-multiplication,Write a question that asks students to explain their reasoning where equal groups of fruit baskets are formed and then divided. Avoid decimals and negative numbers.
division-multiplication,"Create a short word problem about arrays or equal groups using classroom chairs. Include one multiplication and one division step. Ask for a written answer, not a drawing."
division-multiplication,Write a simple challenge question where equal groups of sports balls are formed and then divided. Make the numbers easy to calculate mentally.
division-multiplication,Write a short word problem where equal groups of stickers are formed and then divided. Use simple vocabulary suitable for elementary students.
division-multiplication,Create a true-or-false question with a brief explanation about marbles that uses both multiplication and division. Make it very easy. Use simple vocabulary suitable for elementary students.
division-multiplication,Write a two-step problem where equal groups of marbles are formed and then divided. Keep the question under 45 words.
division-multiplication,"Write a simple challenge question where students decide whether multiplication or division is needed in a situation with toy cars. Ask for a written answer, not a drawing."
division-multiplication,Create a simple challenge question about coins that uses both multiplication and division. Make it slightly challenging. Make the numbers easy to calculate mentally.
division-multiplication,"Create a two-step problem about sports balls that uses both multiplication and division. Make it slightly challenging. Ask for a written answer, not a drawing."
division-multiplication,Create a real-life classroom problem about arrays or equal groups using birthday candles. Include one multiplication and one division step. Avoid decimals and negative numbers.
division-multiplication,Generate a true-or-false question with a brief explanation that asks students to multiply to find a total and divide to share equally. Use books. Include the correct answer.
division-multiplication,Write a real-life classroom problem where equal groups of animals on a farm are formed and then divided. Use whole numbers only.
