education_level,skill,prompt
upper-elementary,multi-digit operations,Create an error-analysis question for upper elementary students to develop multi-digit operations using a context related to travel distances. Ask the student to justify the answer briefly.
upper-elementary,decimals,Create a multiple-choice question with four options for upper elementary students to develop decimals using a context related to gardens. Use values appropriate for the educational level.
upper-elementary,area and perimeter,Create a fill-in-the-blank problem for upper elementary students to develop area and perimeter using a context related to class surveys. Use clear instructions and avoid unnecessary information.
upper-elementary,fractions,Create a short problem for upper elementary students to develop fractions using a context related to class surveys. Include the correct answer and a brief solution.
upper-elementary,multi-digit operations,Create a real-life word problem for upper elementary students to develop multi-digit operations using a context related to gardens. Make the answer possible using text and numbers only.
upper-elementary,measurement,Create an error-analysis question for upper elementary students to develop measurement using a context related to shopping. Use values appropriate for the educational level.
upper-elementary,multi-digit operations,Create a fill-in-the-blank problem for upper elementary students to develop multi-digit operations using a context related to gardens. Ask the student to justify the answer briefly.
upper-elementary,data interpretation,Create a conceptual question for upper elementary students to develop data interpretation using a context related to recipes. Connect the task to a realistic situation.
upper-elementary,data interpretation,Create a conceptual question for upper elementary students to develop data interpretation using a context related to sports results. Use values appropriate for the educational level.
upper-elementary,area and perimeter,Create a real-life word problem for upper elementary students to develop area and perimeter using a context related to travel distances. Include one hint and the final answer.
upper-elementary,decimals,Create a question that requires showing the reasoning for upper elementary students to develop decimals using a context related to maps. Include the correct answer and a brief solution.
upper-elementary,fractions,Create a fill-in-the-blank problem for upper elementary students to develop fractions using a context related to shopping. Use values appropriate for the educational level.
upper-elementary,fractions,Create a two-step problem for upper elementary students to develop fractions using a context related to sports results. Ask the student to justify the answer briefly.
upper-elementary,area and perimeter,Create a real-life word problem for upper elementary students to develop area and perimeter using a context related to sports results. Keep the wording concise and include an answer key.
upper-elementary,data interpretation,Create a two-step problem for upper elementary students to develop data interpretation using a context related to class surveys. Include one hint and the final answer.
upper-elementary,measurement,Create a short problem for upper elementary students to develop measurement using a context related to gardens. Connect the task to a realistic situation.
upper-elementary,decimals,Create a two-step problem for upper elementary students to develop decimals using a context related to school projects. Use clear instructions and avoid unnecessary information.
upper-elementary,data interpretation,Create a question that requires showing the reasoning for upper elementary students to develop data interpretation using a context related to recipes. Connect the task to a realistic situation.
upper-elementary,data interpretation,Create a fill-in-the-blank problem for upper elementary students to develop data interpretation using a context related to class surveys. Keep the wording concise and include an answer key.
lower-secondary,geometry,Create a question that requires showing the reasoning for lower secondary students to develop geometry using a context related to maps. Make the answer possible using text and numbers only.
lower-secondary,ratios and proportions,Create a fill-in-the-blank problem for lower secondary students to develop ratios and proportions using a context related to scale drawings. Include one hint and the final answer.
lower-secondary,percentages,Create a question that requires showing the reasoning for lower secondary students to develop percentages using a context related to surveys. Ask the student to justify the answer briefly.
lower-secondary,integers,Create a short problem for lower secondary students to develop integers using a context related to surveys. Use values appropriate for the educational level.
lower-secondary,geometry,Create a multiple-choice question with four options for lower secondary students to develop geometry using a context related to sports statistics. Keep the wording concise and include an answer key.
lower-secondary,percentages,Create a conceptual question for lower secondary students to develop percentages using a context related to school events. Use values appropriate for the educational level.
lower-secondary,statistics and probability,Create an error-analysis question for lower secondary students to develop statistics and probability using a context related to temperature changes. Connect the task to a realistic situation.
lower-secondary,ratios and proportions,Create a question that requires showing the reasoning for lower secondary students to develop ratios and proportions using a context related to maps. Ask the student to justify the answer briefly.
lower-secondary,integers,Create a short problem for lower secondary students to develop integers using a context related to sports statistics. Connect the task to a realistic situation.
lower-secondary,geometry,Create a real-life word problem for lower secondary students to develop geometry using a context related to maps. Include one hint and the final answer.
lower-secondary,percentages,Create a multiple-choice question with four options for lower secondary students to develop percentages using a context related to maps. Ask the student to justify the answer briefly.
lower-secondary,integers,Create a real-life word problem for lower secondary students to develop integers using a context related to science experiments. Make the answer possible using text and numbers only.
lower-secondary,geometry,Create a conceptual question for lower secondary students to develop geometry using a context related to maps. Use clear instructions and avoid unnecessary information.
lower-secondary,geometry,Create a short problem for lower secondary students to develop geometry using a context related to surveys. Use clear instructions and avoid unnecessary information.
lower-secondary,geometry,Create a real-life word problem for lower secondary students to develop geometry using a context related to maps. Use clear instructions and avoid unnecessary information.
lower-secondary,ratios and proportions,Create an error-analysis question for lower secondary students to develop ratios and proportions using a context related to surveys. Use clear instructions and avoid unnecessary information.
lower-secondary,linear equations,Create a short problem for lower secondary students to develop linear equations using a context related to temperature changes. Keep the wording concise and include an answer key.
lower-secondary,integers,Create a fill-in-the-blank problem for lower secondary students to develop integers using a context related to temperature changes. Connect the task to a realistic situation.
lower-secondary,geometry,Create a fill-in-the-blank problem for lower secondary students to develop geometry using a context related to surveys. Keep the wording concise and include an answer key.
lower-secondary,linear equations,Create a fill-in-the-blank problem for lower secondary students to develop linear equations using a context related to science experiments. Connect the task to a realistic situation.
lower-secondary,geometry,Create a conceptual question for lower secondary students to develop geometry using a context related to sports statistics. Include one hint and the final answer.
lower-secondary,integers,Create a multiple-choice question with four options for lower secondary students to develop integers using a context related to school events. Make the answer possible using text and numbers only.
lower-secondary,geometry,Create a question that requires showing the reasoning for lower secondary students to develop geometry using a context related to science experiments. Make the answer possible using text and numbers only.
lower-secondary,integers,Create a fill-in-the-blank problem for lower secondary students to develop integers using a context related to school events. Keep the wording concise and include an answer key.
lower-secondary,geometry,Create a question that requires showing the reasoning for lower secondary students to develop geometry using a context related to budgets. Include the correct answer and a brief solution.
lower-secondary,percentages,Create a real-life word problem for lower secondary students to develop percentages using a context related to maps. Connect the task to a realistic situation.
lower-secondary,linear equations,Create an error-analysis question for lower secondary students to develop linear equations using a context related to budgets. Ask the student to justify the answer briefly.
lower-secondary,geometry,Create a multiple-choice question with four options for lower secondary students to develop geometry using a context related to school events. Include one hint and the final answer.
lower-secondary,statistics and probability,Create a two-step problem for lower secondary students to develop statistics and probability using a context related to budgets. Keep the wording concise and include an answer key.
lower-secondary,ratios and proportions,Create a short problem for lower secondary students to develop ratios and proportions using a context related to sports statistics. Keep the wording concise and include an answer key.
lower-secondary,ratios and proportions,Create a question that requires showing the reasoning for lower secondary students to develop ratios and proportions using a context related to budgets. Connect the task to a realistic situation.
lower-secondary,geometry,Create a question that requires showing the reasoning for lower secondary students to develop geometry using a context related to science experiments. Connect the task to a realistic situation.
lower-secondary,statistics and probability,Create a question that requires showing the reasoning for lower secondary students to develop statistics and probability using a context related to maps. Include the correct answer and a brief solution.
lower-secondary,integers,Create a question that requires showing the reasoning for lower secondary students to develop integers using a context related to maps. Use clear instructions and avoid unnecessary information.
lower-secondary,percentages,Create a question that requires showing the reasoning for lower secondary students to develop percentages using a context related to maps. Keep the wording concise and include an answer key.
lower-secondary,linear equations,Create a fill-in-the-blank problem for lower secondary students to develop linear equations using a context related to science experiments. Use clear instructions and avoid unnecessary information.
lower-secondary,statistics and probability,Create a conceptual question for lower secondary students to develop statistics and probability using a context related to school events. Make the answer possible using text and numbers only.
lower-secondary,percentages,Create a conceptual question for lower secondary students to develop percentages using a context related to maps. Use clear instructions and avoid unnecessary information.
lower-secondary,integers,Create a conceptual question for lower secondary students to develop integers using a context related to scale drawings. Include the correct answer and a brief solution.
lower-secondary,percentages,Create a short problem for lower secondary students to develop percentages using a context related to scale drawings. Make the answer possible using text and numbers only.
lower-secondary,linear equations,Create a fill-in-the-blank problem for lower secondary students to develop linear equations using a context related to temperature changes. Include the correct answer and a brief solution.
lower-secondary,linear equations,Create a short problem for lower secondary students to develop linear equations using a context related to surveys. Include the correct answer and a brief solution.
lower-secondary,statistics and probability,Create a multiple-choice question with four options for lower secondary students to develop statistics and probability using a context related to school events. Connect the task to a realistic situation.
lower-secondary,geometry,Create an error-analysis question for lower secondary students to develop geometry using a context related to sports statistics. Use clear instructions and avoid unnecessary information.
lower-secondary,geometry,Create a fill-in-the-blank problem for lower secondary students to develop geometry using a context related to surveys. Include the correct answer and a brief solution.
lower-secondary,ratios and proportions,Create a fill-in-the-blank problem for lower secondary students to develop ratios and proportions using a context related to scale drawings. Include the correct answer and a brief solution.
lower-secondary,ratios and proportions,Create a question that requires showing the reasoning for lower secondary students to develop ratios and proportions using a context related to surveys. Keep the wording concise and include an answer key.
lower-secondary,linear equations,Create a short problem for lower secondary students to develop linear equations using a context related to temperature changes. Include the correct answer and a brief solution.
lower-secondary,ratios and proportions,Create an error-analysis question for lower secondary students to develop ratios and proportions using a context related to school events. Include one hint and the final answer.
lower-secondary,linear equations,Create a conceptual question for lower secondary students to develop linear equations using a context related to temperature changes. Use clear instructions and avoid unnecessary information.
lower-secondary,percentages,Create a fill-in-the-blank problem for lower secondary students to develop percentages using a context related to budgets. Connect the task to a realistic situation.
lower-secondary,statistics and probability,Create a short problem for lower secondary students to develop statistics and probability using a context related to school events. Keep the wording concise and include an answer key.
lower-secondary,ratios and proportions,Create a fill-in-the-blank problem for lower secondary students to develop ratios and proportions using a context related to sports statistics. Connect the task to a realistic situation.
lower-secondary,percentages,Create a conceptual question for lower secondary students to develop percentages using a context related to scale drawings. Keep the wording concise and include an answer key.
lower-secondary,statistics and probability,Create a question that requires showing the reasoning for lower secondary students to develop statistics and probability using a context related to scale drawings. Ask the student to justify the answer briefly.
lower-secondary,geometry,Create a question that requires showing the reasoning for lower secondary students to develop geometry using a context related to budgets. Make the answer possible using text and numbers only.
lower-secondary,integers,Create an error-analysis question for lower secondary students to develop integers using a context related to science experiments. Use clear instructions and avoid unnecessary information.
lower-secondary,linear equations,Create a two-step problem for lower secondary students to develop linear equations using a context related to surveys. Ask the student to justify the answer briefly.
lower-secondary,statistics and probability,Create a conceptual question for lower secondary students to develop statistics and probability using a context related to surveys. Use clear instructions and avoid unnecessary information.
lower-secondary,geometry,Create a multiple-choice question with four options for lower secondary students to develop geometry using a context related to sports statistics. Include the correct answer and a brief solution.
lower-secondary,percentages,Create a question that requires showing the reasoning for lower secondary students to develop percentages using a context related to science experiments. Make the answer possible using text and numbers only.
lower-secondary,ratios and proportions,Create a question that requires showing the reasoning for lower secondary students to develop ratios and proportions using a context related to sports statistics. Include the correct answer and a brief solution.
lower-secondary,ratios and proportions,Create an error-analysis question for lower secondary students to develop ratios and proportions using a context related to maps. Include one hint and the final answer.
lower-secondary,integers,Create a fill-in-the-blank problem for lower secondary students to develop integers using a context related to sports statistics. Use clear instructions and avoid unnecessary information.
lower-secondary,linear equations,Create a multiple-choice question with four options for lower secondary students to develop linear equations using a context related to surveys. Use clear instructions and avoid unnecessary information.
lower-secondary,integers,Create a real-life word problem for lower secondary students to develop integers using a context related to temperature changes. Make the answer possible using text and numbers only.
lower-secondary,geometry,Create a fill-in-the-blank problem for lower secondary students to develop geometry using a context related to budgets. Connect the task to a realistic situation.
lower-secondary,statistics and probability,Create an error-analysis question for lower secondary students to develop statistics and probability using a context related to scale drawings. Include one hint and the final answer.
lower-secondary,integers,Create an error-analysis question for lower secondary students to develop integers using a context related to temperature changes. Use values appropriate for the educational level.
lower-secondary,statistics and probability,Create a real-life word problem for lower secondary students to develop statistics and probability using a context related to school events. Use values appropriate for the educational level.
lower-secondary,ratios and proportions,Create a question that requires showing the reasoning for lower secondary students to develop ratios and proportions using a context related to sports statistics. Keep the wording concise and include an answer key.
lower-secondary,linear equations,Create a real-life word problem for lower secondary students to develop linear equations using a context related to scale drawings. Use values appropriate for the educational level.
lower-secondary,integers,Create a multiple-choice question with four options for lower secondary students to develop integers using a context related to temperature changes. Make the answer possible using text and numbers only.
lower-secondary,geometry,Create a question that requires showing the reasoning for lower secondary students to develop geometry using a context related to temperature changes. Use clear instructions and avoid unnecessary information.
lower-secondary,percentages,Create a real-life word problem for lower secondary students to develop percentages using a context related to school events. Use values appropriate for the educational level.
lower-secondary,linear equations,Create a short problem for lower secondary students to develop linear equations using a context related to surveys. Connect the task to a realistic situation.
lower-secondary,ratios and proportions,Create a multiple-choice question with four options for lower secondary students to develop ratios and proportions using a context related to temperature changes. Connect the task to a realistic situation.
lower-secondary,integers,Create a fill-in-the-blank problem for lower secondary students to develop integers using a context related to temperature changes. Use values appropriate for the educational level.
lower-secondary,ratios and proportions,Create a conceptual question for lower secondary students to develop ratios and proportions using a context related to maps. Keep the wording concise and include an answer key.
lower-secondary,integers,Create a fill-in-the-blank problem for lower secondary students to develop integers using a context related to scale drawings. Keep the wording concise and include an answer key.
lower-secondary,statistics and probability,Create a two-step problem for lower secondary students to develop statistics and probability using a context related to maps. Use values appropriate for the educational level.
lower-secondary,statistics and probability,Create a short problem for lower secondary students to develop statistics and probability using a context related to science experiments. Connect the task to a realistic situation.
lower-secondary,statistics and probability,Create a two-step problem for lower secondary students to develop statistics and probability using a context related to school events. Connect the task to a realistic situation.
lower-secondary,statistics and probability,Create a real-life word problem for lower secondary students to develop statistics and probability using a context related to school events. Connect the task to a realistic situation.
lower-secondary,statistics and probability,Create a multiple-choice question with four options for lower secondary students to develop statistics and probability using a context related to surveys. Connect the task to a realistic situation.
lower-secondary,linear equations,Create a real-life word problem for lower secondary students to develop linear equations using a context related to temperature changes. Ask the student to justify the answer briefly.
lower-secondary,geometry,Create an error-analysis question for lower secondary students to develop geometry using a context related to maps. Make the answer possible using text and numbers only.
lower-secondary,geometry,Create an error-analysis question for lower secondary students to develop geometry using a context related to science experiments. Make the answer possible using text and numbers only.
lower-secondary,ratios and proportions,Create an error-analysis question for lower secondary students to develop ratios and proportions using a context related to maps. Make the answer possible using text and numbers only.
lower-secondary,geometry,Create a two-step problem for lower secondary students to develop geometry using a context related to sports statistics. Use clear instructions and avoid unnecessary information.
lower-secondary,integers,Create a two-step problem for lower secondary students to develop integers using a context related to scale drawings. Use clear instructions and avoid unnecessary information.
lower-secondary,ratios and proportions,Create a two-step problem for lower secondary students to develop ratios and proportions using a context related to temperature changes. Make the answer possible using text and numbers only.
lower-secondary,integers,Create a two-step problem for lower secondary students to develop integers using a context related to surveys. Keep the wording concise and include an answer key.
lower-secondary,linear equations,Create an error-analysis question for lower secondary students to develop linear equations using a context related to maps. Use values appropriate for the educational level.
lower-secondary,integers,Create a conceptual question for lower secondary students to develop integers using a context related to temperature changes. Keep the wording concise and include an answer key.
lower-secondary,linear equations,Create a fill-in-the-blank problem for lower secondary students to develop linear equations using a context related to surveys. Ask the student to justify the answer briefly.
lower-secondary,percentages,Create a fill-in-the-blank problem for lower secondary students to develop percentages using a context related to scale drawings. Use values appropriate for the educational level.
lower-secondary,linear equations,Create a conceptual question for lower secondary students to develop linear equations using a context related to science experiments. Use values appropriate for the educational level.
lower-secondary,statistics and probability,Create a multiple-choice question with four options for lower secondary students to develop statistics and probability using a context related to surveys. Keep the wording concise and include an answer key.
lower-secondary,statistics and probability,Create a real-life word problem for lower secondary students to develop statistics and probability using a context related to maps. Ask the student to justify the answer briefly.
lower-secondary,geometry,Create a conceptual question for lower secondary students to develop geometry using a context related to school events. Include one hint and the final answer.
lower-secondary,statistics and probability,Create a short problem for lower secondary students to develop statistics and probability using a context related to scale drawings. Include one hint and the final answer.
lower-secondary,integers,Create a question that requires showing the reasoning for lower secondary students to develop integers using a context related to school events. Keep the wording concise and include an answer key.
lower-secondary,statistics and probability,Create a short problem for lower secondary students to develop statistics and probability using a context related to surveys. Include one hint and the final answer.
lower-secondary,linear equations,Create a short problem for lower secondary students to develop linear equations using a context related to budgets. Make the answer possible using text and numbers only.
lower-secondary,percentages,Create an error-analysis question for lower secondary students to develop percentages using a context related to science experiments. Keep the wording concise and include an answer key.
lower-secondary,statistics and probability,Create a short problem for lower secondary students to develop statistics and probability using a context related to sports statistics. Include one hint and the final answer.
lower-secondary,statistics and probability,Create a short problem for lower secondary students to develop statistics and probability using a context related to sports statistics. Make the answer possible using text and numbers only.
lower-secondary,ratios and proportions,Create a conceptual question for lower secondary students to develop ratios and proportions using a context related to budgets. Use values appropriate for the educational level.
lower-secondary,integers,Create a two-step problem for lower secondary students to develop integers using a context related to scale drawings. Include the correct answer and a brief solution.
lower-secondary,ratios and proportions,Create a two-step problem for lower secondary students to develop ratios and proportions using a context related to maps. Keep the wording concise and include an answer key.
lower-secondary,ratios and proportions,Create a short problem for lower secondary students to develop ratios and proportions using a context related to budgets. Use clear instructions and avoid unnecessary information.
lower-secondary,percentages,Create an error-analysis question for lower secondary students to develop percentages using a context related to surveys. Keep the wording concise and include an answer key.
lower-secondary,ratios and proportions,Create a question that requires showing the reasoning for lower secondary students to develop ratios and proportions using a context related to maps. Include one hint and the final answer.
lower-secondary,linear equations,Create a conceptual question for lower secondary students to develop linear equations using a context related to surveys. Keep the wording concise and include an answer key.
lower-secondary,integers,Create an error-analysis question for lower secondary students to develop integers using a context related to budgets. Connect the task to a realistic situation.
lower-secondary,ratios and proportions,Create a conceptual question for lower secondary students to develop ratios and proportions using a context related to science experiments. Use values appropriate for the educational level.
lower-secondary,integers,Create a fill-in-the-blank problem for lower secondary students to develop integers using a context related to scale drawings. Use clear instructions and avoid unnecessary information.
lower-secondary,ratios and proportions,Create a multiple-choice question with four options for lower secondary students to develop ratios and proportions using a context related to school events. Keep the wording concise and include an answer key.
lower-secondary,linear equations,Create a short problem for lower secondary students to develop linear equations using a context related to science experiments. Ask the student to justify the answer briefly.
upper-secondary,probability,Create a question that requires showing the reasoning for upper secondary students to develop probability using a context related to data analysis. Include the correct answer and a brief solution.
upper-secondary,probability,Create a two-step problem for upper secondary students to develop probability using a context related to technology. Include one hint and the final answer.
upper-secondary,quadratic functions,Create a real-life word problem for upper secondary students to develop quadratic functions using a context related to business costs. Include the correct answer and a brief solution.
upper-secondary,exponential functions,Create a real-life word problem for upper secondary students to develop exponential functions using a context related to data analysis. Make the answer possible using text and numbers only.
upper-secondary,trigonometry,Create a two-step problem for upper secondary students to develop trigonometry using a context related to architecture. Ask the student to justify the answer briefly.
upper-secondary,systems of equations,Create a fill-in-the-blank problem for upper secondary students to develop systems of equations using a context related to projectile motion. Use values appropriate for the educational level.
upper-secondary,analytic geometry,Create a conceptual question for upper secondary students to develop analytic geometry using a context related to technology. Keep the wording concise and include an answer key.
upper-secondary,quadratic functions,Create a fill-in-the-blank problem for upper secondary students to develop quadratic functions using a context related to environmental models. Use values appropriate for the educational level.
upper-secondary,analytic geometry,Create a short problem for upper secondary students to develop analytic geometry using a context related to population growth. Include one hint and the final answer.
upper-secondary,probability,Create a short problem for upper secondary students to develop probability using a context related to environmental models. Include the correct answer and a brief solution.
upper-secondary,analytic geometry,Create a conceptual question for upper secondary students to develop analytic geometry using a context related to technology. Ask the student to justify the answer briefly.
upper-secondary,quadratic functions,Create a two-step problem for upper secondary students to develop quadratic functions using a context related to population growth. Keep the wording concise and include an answer key.
upper-secondary,trigonometry,Create a real-life word problem for upper secondary students to develop trigonometry using a context related to business costs. Keep the wording concise and include an answer key.
upper-secondary,systems of equations,Create a two-step problem for upper secondary students to develop systems of equations using a context related to population growth. Keep the wording concise and include an answer key.
upper-secondary,systems of equations,Create a fill-in-the-blank problem for upper secondary students to develop systems of equations using a context related to data analysis. Use values appropriate for the educational level.
upper-secondary,trigonometry,Create a short problem for upper secondary students to develop trigonometry using a context related to environmental models. Keep the wording concise and include an answer key.
upper-secondary,analytic geometry,Create a question that requires showing the reasoning for upper secondary students to develop analytic geometry using a context related to technology. Include one hint and the final answer.
upper-secondary,quadratic functions,Create a short problem for upper secondary students to develop quadratic functions using a context related to architecture. Include the correct answer and a brief solution.
upper-secondary,quadratic functions,Create a fill-in-the-blank problem for upper secondary students to develop quadratic functions using a context related to business costs. Keep the wording concise and include an answer key.
upper-secondary,quadratic functions,Create an error-analysis question for upper secondary students to develop quadratic functions using a context related to architecture. Make the answer possible using text and numbers only.
upper-secondary,exponential functions,Create a short problem for upper secondary students to develop exponential functions using a context related to environmental models. Keep the wording concise and include an answer key.
upper-secondary,quadratic functions,Create a fill-in-the-blank problem for upper secondary students to develop quadratic functions using a context related to environmental models. Include one hint and the final answer.
upper-secondary,trigonometry,Create a short problem for upper secondary students to develop trigonometry using a context related to architecture. Include the correct answer and a brief solution.
upper-secondary,trigonometry,Create a conceptual question for upper secondary students to develop trigonometry using a context related to environmental models. Include the correct answer and a brief solution.
upper-secondary,systems of equations,Create a conceptual question for upper secondary students to develop systems of equations using a context related to projectile motion. Include one hint and the final answer.
upper-secondary,probability,Create a multiple-choice question with four options for upper secondary students to develop probability using a context related to data analysis. Make the answer possible using text and numbers only.
upper-secondary,exponential functions,Create an error-analysis question for upper secondary students to develop exponential functions using a context related to navigation. Make the answer possible using text and numbers only.
upper-secondary,trigonometry,Create a real-life word problem for upper secondary students to develop trigonometry using a context related to architecture. Include the correct answer and a brief solution.
upper-secondary,probability,Create an error-analysis question for upper secondary students to develop probability using a context related to data analysis. Use values appropriate for the educational level.
upper-secondary,trigonometry,Create a real-life word problem for upper secondary students to develop trigonometry using a context related to business costs. Use values appropriate for the educational level.
upper-secondary,systems of equations,Create a two-step problem for upper secondary students to develop systems of equations using a context related to population growth. Connect the task to a realistic situation.
upper-secondary,exponential functions,Create a short problem for upper secondary students to develop exponential functions using a context related to navigation. Keep the wording concise and include an answer key.
upper-secondary,quadratic functions,Create a multiple-choice question with four options for upper secondary students to develop quadratic functions using a context related to business costs. Ask the student to justify the answer briefly.
upper-secondary,quadratic functions,Create a real-life word problem for upper secondary students to develop quadratic functions using a context related to data analysis. Make the answer possible using text and numbers only.
upper-secondary,quadratic functions,Create an error-analysis question for upper secondary students to develop quadratic functions using a context related to technology. Make the answer possible using text and numbers only.
upper-secondary,quadratic functions,Create a short problem for upper secondary students to develop quadratic functions using a context related to projectile motion. Connect the task to a realistic situation.
upper-secondary,exponential functions,Create a multiple-choice question with four options for upper secondary students to develop exponential functions using a context related to projectile motion. Use clear instructions and avoid unnecessary information.
upper-secondary,quadratic functions,Create a two-step problem for upper secondary students to develop quadratic functions using a context related to technology. Connect the task to a realistic situation.
upper-secondary,probability,Create a real-life word problem for upper secondary students to develop probability using a context related to data analysis. Include one hint and the final answer.
upper-secondary,probability,Create an error-analysis question for upper secondary students to develop probability using a context related to navigation. Ask the student to justify the answer briefly.
upper-secondary,trigonometry,Create a multiple-choice question with four options for upper secondary students to develop trigonometry using a context related to data analysis. Make the answer possible using text and numbers only.
upper-secondary,exponential functions,Create a fill-in-the-blank problem for upper secondary students to develop exponential functions using a context related to population growth. Ask the student to justify the answer briefly.
upper-secondary,trigonometry,Create a question that requires showing the reasoning for upper secondary students to develop trigonometry using a context related to technology. Make the answer possible using text and numbers only.
upper-secondary,systems of equations,Create a two-step problem for upper secondary students to develop systems of equations using a context related to projectile motion. Keep the wording concise and include an answer key.
upper-secondary,quadratic functions,Create a question that requires showing the reasoning for upper secondary students to develop quadratic functions using a context related to projectile motion. Ask the student to justify the answer briefly.
upper-secondary,analytic geometry,Create a two-step problem for upper secondary students to develop analytic geometry using a context related to navigation. Use clear instructions and avoid unnecessary information.
upper-secondary,exponential functions,Create a fill-in-the-blank problem for upper secondary students to develop exponential functions using a context related to population growth. Use clear instructions and avoid unnecessary information.
upper-secondary,systems of equations,Create a real-life word problem for upper secondary students to develop systems of equations using a context related to projectile motion. Use values appropriate for the educational level.
upper-secondary,trigonometry,Create a question that requires showing the reasoning for upper secondary students to develop trigonometry using a context related to projectile motion. Connect the task to a realistic situation.
upper-secondary,exponential functions,Create a conceptual question for upper secondary students to develop exponential functions using a context related to environmental models. Ask the student to justify the answer briefly.
upper-secondary,systems of equations,Create a conceptual question for upper secondary students to develop systems of equations using a context related to technology. Include one hint and the final answer.
upper-secondary,exponential functions,Create a question that requires showing the reasoning for upper secondary students to develop exponential functions using a context related to projectile motion. Keep the wording concise and include an answer key.
upper-secondary,probability,Create a conceptual question for upper secondary students to develop probability using a context related to projectile motion. Keep the wording concise and include an answer key.
upper-secondary,systems of equations,Create a multiple-choice question with four options for upper secondary students to develop systems of equations using a context related to architecture. Make the answer possible using text and numbers only.
upper-secondary,exponential functions,Create a conceptual question for upper secondary students to develop exponential functions using a context related to navigation. Keep the wording concise and include an answer key.
upper-secondary,probability,Create a question that requires showing the reasoning for upper secondary students to develop probability using a context related to projectile motion. Keep the wording concise and include an answer key.
upper-secondary,analytic geometry,Create a multiple-choice question with four options for upper secondary students to develop analytic geometry using a context related to environmental models. Keep the wording concise and include an answer key.
upper-secondary,probability,Create a multiple-choice question with four options for upper secondary students to develop probability using a context related to technology. Make the answer possible using text and numbers only.
upper-secondary,trigonometry,Create an error-analysis question for upper secondary students to develop trigonometry using a context related to architecture. Include one hint and the final answer.
upper-secondary,systems of equations,Create a fill-in-the-blank problem for upper secondary students to develop systems of equations using a context related to technology. Include one hint and the final answer.
upper-secondary,exponential functions,Create a multiple-choice question with four options for upper secondary students to develop exponential functions using a context related to projectile motion. Make the answer possible using text and numbers only.
upper-secondary,quadratic functions,Create a conceptual question for upper secondary students to develop quadratic functions using a context related to environmental models. Use clear instructions and avoid unnecessary information.
upper-secondary,trigonometry,Create a multiple-choice question with four options for upper secondary students to develop trigonometry using a context related to population growth. Make the answer possible using text and numbers only.
upper-secondary,exponential functions,Create a real-life word problem for upper secondary students to develop exponential functions using a context related to data analysis. Include the correct answer and a brief solution.
upper-secondary,analytic geometry,Create a two-step problem for upper secondary students to develop analytic geometry using a context related to projectile motion. Keep the wording concise and include an answer key.
upper-secondary,quadratic functions,Create a two-step problem for upper secondary students to develop quadratic functions using a context related to population growth. Connect the task to a realistic situation.
upper-secondary,trigonometry,Create a short problem for upper secondary students to develop trigonometry using a context related to population growth. Make the answer possible using text and numbers only.
upper-secondary,trigonometry,Create a fill-in-the-blank problem for upper secondary students to develop trigonometry using a context related to data analysis. Ask the student to justify the answer briefly.
upper-secondary,probability,Create a question that requires showing the reasoning for upper secondary students to develop probability using a context related to data analysis. Include one hint and the final answer.
upper-secondary,exponential functions,Create a fill-in-the-blank problem for upper secondary students to develop exponential functions using a context related to environmental models. Make the answer possible using text and numbers only.
upper-secondary,systems of equations,Create a short problem for upper secondary students to develop systems of equations using a context related to population growth. Use clear instructions and avoid unnecessary information.
upper-secondary,systems of equations,Create a fill-in-the-blank problem for upper secondary students to develop systems of equations using a context related to projectile motion. Include one hint and the final answer.
upper-secondary,analytic geometry,Create an error-analysis question for upper secondary students to develop analytic geometry using a context related to business costs. Use clear instructions and avoid unnecessary information.
upper-secondary,quadratic functions,Create a real-life word problem for upper secondary students to develop quadratic functions using a context related to architecture. Make the answer possible using text and numbers only.
upper-secondary,analytic geometry,Create a conceptual question for upper secondary students to develop analytic geometry using a context related to navigation. Use clear instructions and avoid unnecessary information.
upper-secondary,systems of equations,Create a real-life word problem for upper secondary students to develop systems of equations using a context related to business costs. Ask the student to justify the answer briefly.
upper-secondary,exponential functions,Create a question that requires showing the reasoning for upper secondary students to develop exponential functions using a context related to navigation. Include one hint and the final answer.
upper-secondary,probability,Create a real-life word problem for upper secondary students to develop probability using a context related to environmental models. Include the correct answer and a brief solution.
upper-secondary,analytic geometry,Create a fill-in-the-blank problem for upper secondary students to develop analytic geometry using a context related to data analysis. Connect the task to a realistic situation.
upper-secondary,trigonometry,Create a short problem for upper secondary students to develop trigonometry using a context related to technology. Connect the task to a realistic situation.
upper-secondary,probability,Create a real-life word problem for upper secondary students to develop probability using a context related to architecture. Include the correct answer and a brief solution.
upper-secondary,quadratic functions,Create an error-analysis question for upper secondary students to develop quadratic functions using a context related to business costs. Keep the wording concise and include an answer key.
upper-secondary,analytic geometry,Create a two-step problem for upper secondary students to develop analytic geometry using a context related to projectile motion. Include the correct answer and a brief solution.
upper-secondary,quadratic functions,Create a multiple-choice question with four options for upper secondary students to develop quadratic functions using a context related to projectile motion. Include the correct answer and a brief solution.
upper-secondary,exponential functions,Create a fill-in-the-blank problem for upper secondary students to develop exponential functions using a context related to environmental models. Keep the wording concise and include an answer key.
upper-secondary,probability,Create a two-step problem for upper secondary students to develop probability using a context related to environmental models. Connect the task to a realistic situation.
