subject,skill,prompt
social-studies,community roles,Create a fill-in-the-blank question for slightly challenging elementary students to develop community roles through a neighborhood map. Keep the question under 50 words and provide the answer.
social-studies,community roles,Create a true-or-false question with a brief explanation for easy elementary students to develop community roles through important historical events. Use age-appropriate language and explain the answer briefly.
social-studies,comparison of societies,Create a multiple-choice question with four options for beginner elementary students to develop comparison of societies through natural and human-made landmarks. Use age-appropriate language and explain the answer briefly.
social-studies,comparison of societies,Create a multiple-choice question with four options for easy elementary students to develop comparison of societies through transportation. Use a familiar real-life context and add a short hint.
social-studies,citizenship,Create a two-part question for moderate elementary students to develop citizenship through important historical events. Use age-appropriate language and explain the answer briefly.
social-studies,maps and location,Create a multiple-choice question with four options for moderate elementary students to develop maps and location through family traditions. Use a familiar real-life context and add a short hint.
social-studies,maps and location,Create a short-answer question for moderate elementary students to develop maps and location through important historical events. Ask only one main idea and include the correct answer.
social-studies,maps and location,Create a multiple-choice question with four options for beginner elementary students to develop maps and location through a neighborhood map. Use age-appropriate language and explain the answer briefly.
social-studies,community roles,Create a comparison question for slightly challenging elementary students to develop community roles through the local community. Use a familiar real-life context and add a short hint.
social-studies,community roles,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop community roles through community helpers. Use age-appropriate language and explain the answer briefly.
social-studies,citizenship,Create a short-answer question for slightly challenging elementary students to develop citizenship through a neighborhood map. Use clear vocabulary and include the correct answer.
english-language-learning,sentence formation,Create a two-part question for slightly challenging elementary students to develop sentence formation through animals. Make the expected response possible using text only.
english-language-learning,everyday communication,Create a short-answer question for moderate elementary students to develop everyday communication through food. Keep the question under 50 words and provide the answer.
english-language-learning,everyday communication,Create a comparison question for beginner elementary students to develop everyday communication through weather. Use age-appropriate language and explain the answer briefly.
english-language-learning,describing people and places,Create a multiple-choice question with four options for easy elementary students to develop describing people and places through clothing. Ask only one main idea and include the correct answer.
english-language-learning,everyday communication,Create a question that asks the student to explain their reasoning for easy elementary students to develop everyday communication through food. Avoid technical vocabulary and include a brief answer key.
english-language-learning,sentence formation,Create a fill-in-the-blank question for easy elementary students to develop sentence formation through classroom objects. Avoid technical vocabulary and include a brief answer key.
english-language-learning,sentence formation,Create a simple scenario-based question for slightly challenging elementary students to develop sentence formation through animals. Use clear vocabulary and include the correct answer.
english-language-learning,basic vocabulary,Create a fill-in-the-blank question for beginner elementary students to develop basic vocabulary through food. Ask only one main idea and include the correct answer.
english-language-learning,sentence formation,Create a fill-in-the-blank question for moderate elementary students to develop sentence formation through school activities. Make the expected response possible using text only.
english-language-learning,question words,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop question words through classroom objects. Keep the question under 50 words and provide the answer.
english-language-learning,reading comprehension,Create a question that asks the student to explain their reasoning for beginner elementary students to develop reading comprehension through classroom objects. Use clear vocabulary and include the correct answer.
english-language-learning,describing people and places,Create a true-or-false question with a brief explanation for easy elementary students to develop describing people and places through weather. Use age-appropriate language and explain the answer briefly.
english-language-learning,basic vocabulary,Create a short-answer question for beginner elementary students to develop basic vocabulary through school activities. Use clear vocabulary and include the correct answer.
english-language-learning,sentence formation,Create a short-answer question for easy elementary students to develop sentence formation through animals. Keep the question under 50 words and provide the answer.
english-language-learning,question words,Create a question that asks the student to explain their reasoning for moderate elementary students to develop question words through places in town. Use a familiar real-life context and add a short hint.
english-language-learning,sentence formation,Create a short-answer question for easy elementary students to develop sentence formation through classroom objects. Keep the question under 50 words and provide the answer.
english-language-learning,reading comprehension,Create a comparison question for beginner elementary students to develop reading comprehension through daily routines. Use a familiar real-life context and add a short hint.
english-language-learning,reading comprehension,Create a comparison question for moderate elementary students to develop reading comprehension through places in town. Avoid technical vocabulary and include a brief answer key.
english-language-learning,sentence formation,Create a true-or-false question with a brief explanation for beginner elementary students to develop sentence formation through animals. Use a familiar real-life context and add a short hint.
english-language-learning,describing people and places,Create a multiple-choice question with four options for slightly challenging elementary students to develop describing people and places through clothing. Make the expected response possible using text only.
english-language-learning,everyday communication,Create a multiple-choice question with four options for moderate elementary students to develop everyday communication through places in town. Use a familiar real-life context and add a short hint.
english-language-learning,everyday communication,Create a question that asks the student to explain their reasoning for beginner elementary students to develop everyday communication through animals. Use age-appropriate language and explain the answer briefly.
english-language-learning,reading comprehension,Create a simple scenario-based question for easy elementary students to develop reading comprehension through classroom objects. Make the instructions direct and easy for a teacher to use.
english-language-learning,everyday communication,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop everyday communication through daily routines. Avoid technical vocabulary and include a brief answer key.
english-language-learning,describing people and places,Create a two-part question for easy elementary students to develop describing people and places through daily routines. Avoid technical vocabulary and include a brief answer key.
english-language-learning,sentence formation,Create a question that asks the student to explain their reasoning for beginner elementary students to develop sentence formation through weather. Use age-appropriate language and explain the answer briefly.
english-language-learning,everyday communication,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop everyday communication through daily routines. Use clear vocabulary and include the correct answer.
english-language-learning,sentence formation,Create a fill-in-the-blank question for slightly challenging elementary students to develop sentence formation through food. Use clear vocabulary and include the correct answer.
english-language-learning,question words,Create a comparison question for easy elementary students to develop question words through food. Make the instructions direct and easy for a teacher to use.
english-language-learning,sentence formation,Create a question that asks the student to explain their reasoning for moderate elementary students to develop sentence formation through weather. Make the instructions direct and easy for a teacher to use.
english-language-learning,reading comprehension,Create a two-part question for moderate elementary students to develop reading comprehension through classroom objects. Use age-appropriate language and explain the answer briefly.
english-language-learning,basic vocabulary,Create a two-part question for beginner elementary students to develop basic vocabulary through family members. Avoid technical vocabulary and include a brief answer key.
english-language-learning,reading comprehension,Create a short-answer question for slightly challenging elementary students to develop reading comprehension through daily routines. Use clear vocabulary and include the correct answer.
english-language-learning,everyday communication,Create a two-part question for easy elementary students to develop everyday communication through classroom objects. Make the expected response possible using text only.
english-language-learning,sentence formation,Create a question that asks the student to explain their reasoning for moderate elementary students to develop sentence formation through family members. Keep the question under 50 words and provide the answer.
english-language-learning,reading comprehension,Create a true-or-false question with a brief explanation for moderate elementary students to develop reading comprehension through daily routines. Make the instructions direct and easy for a teacher to use.
english-language-learning,sentence formation,Create a two-part question for slightly challenging elementary students to develop sentence formation through clothing. Make the expected response possible using text only.
english-language-learning,reading comprehension,Create a simple scenario-based question for moderate elementary students to develop reading comprehension through food. Keep the question under 50 words and provide the answer.
english-language-learning,question words,Create a short-answer question for moderate elementary students to develop question words through school activities. Use clear vocabulary and include the correct answer.
english-language-learning,basic vocabulary,Create a simple scenario-based question for beginner elementary students to develop basic vocabulary through animals. Avoid technical vocabulary and include a brief answer key.
english-language-learning,question words,Create a short-answer question for easy elementary students to develop question words through food. Avoid technical vocabulary and include a brief answer key.
english-language-learning,reading comprehension,Create a fill-in-the-blank question for moderate elementary students to develop reading comprehension through clothing. Use age-appropriate language and explain the answer briefly.
english-language-learning,question words,Create a question that asks the student to explain their reasoning for moderate elementary students to develop question words through clothing. Make the expected response possible using text only.
english-language-learning,sentence formation,Create a comparison question for easy elementary students to develop sentence formation through daily routines. Ask only one main idea and include the correct answer.
english-language-learning,everyday communication,Create a true-or-false question with a brief explanation for easy elementary students to develop everyday communication through food. Ask only one main idea and include the correct answer.
english-language-learning,describing people and places,Create a multiple-choice question with four options for easy elementary students to develop describing people and places through animals. Ask only one main idea and include the correct answer.
english-language-learning,describing people and places,Create a fill-in-the-blank question for beginner elementary students to develop describing people and places through family members. Make the expected response possible using text only.
english-language-learning,basic vocabulary,Create a fill-in-the-blank question for beginner elementary students to develop basic vocabulary through places in town. Use clear vocabulary and include the correct answer.
english-language-learning,basic vocabulary,Create a short-answer question for easy elementary students to develop basic vocabulary through places in town. Make the instructions direct and easy for a teacher to use.
english-language-learning,basic vocabulary,Create a short-answer question for moderate elementary students to develop basic vocabulary through clothing. Make the expected response possible using text only.
english-language-learning,sentence formation,Create a question that asks the student to explain their reasoning for easy elementary students to develop sentence formation through animals. Use a familiar real-life context and add a short hint.
english-language-learning,describing people and places,Create a true-or-false question with a brief explanation for easy elementary students to develop describing people and places through family members. Use age-appropriate language and explain the answer briefly.
english-language-learning,sentence formation,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop sentence formation through weather. Make the instructions direct and easy for a teacher to use.
english-language-learning,sentence formation,Create a multiple-choice question with four options for slightly challenging elementary students to develop sentence formation through clothing. Keep the question under 50 words and provide the answer.
english-language-learning,reading comprehension,Create a multiple-choice question with four options for easy elementary students to develop reading comprehension through feelings. Make the expected response possible using text only.
english-language-learning,question words,Create a short-answer question for moderate elementary students to develop question words through places in town. Make the expected response possible using text only.
english-language-learning,describing people and places,Create a two-part question for slightly challenging elementary students to develop describing people and places through feelings. Use age-appropriate language and explain the answer briefly.
english-language-learning,sentence formation,Create a fill-in-the-blank question for slightly challenging elementary students to develop sentence formation through food. Use a familiar real-life context and add a short hint.
english-language-learning,reading comprehension,Create a comparison question for easy elementary students to develop reading comprehension through daily routines. Make the expected response possible using text only.
english-language-learning,basic vocabulary,Create a fill-in-the-blank question for easy elementary students to develop basic vocabulary through daily routines. Use clear vocabulary and include the correct answer.
english-language-learning,describing people and places,Create a two-part question for moderate elementary students to develop describing people and places through clothing. Use age-appropriate language and explain the answer briefly.
english-language-learning,everyday communication,Create a comparison question for slightly challenging elementary students to develop everyday communication through food. Use a familiar real-life context and add a short hint.
english-language-learning,basic vocabulary,Create a fill-in-the-blank question for moderate elementary students to develop basic vocabulary through clothing. Avoid technical vocabulary and include a brief answer key.
english-language-learning,describing people and places,Create a fill-in-the-blank question for easy elementary students to develop describing people and places through animals. Avoid technical vocabulary and include a brief answer key.
english-language-learning,everyday communication,Create a simple scenario-based question for moderate elementary students to develop everyday communication through animals. Make the expected response possible using text only.
english-language-learning,reading comprehension,Create a multiple-choice question with four options for moderate elementary students to develop reading comprehension through weather. Ask only one main idea and include the correct answer.
english-language-learning,question words,Create a multiple-choice question with four options for beginner elementary students to develop question words through clothing. Use clear vocabulary and include the correct answer.
english-language-learning,describing people and places,Create a comparison question for slightly challenging elementary students to develop describing people and places through clothing. Avoid technical vocabulary and include a brief answer key.
english-language-learning,sentence formation,Create a true-or-false question with a brief explanation for easy elementary students to develop sentence formation through school activities. Use age-appropriate language and explain the answer briefly.
english-language-learning,question words,Create a short-answer question for easy elementary students to develop question words through classroom objects. Make the expected response possible using text only.
english-language-learning,reading comprehension,Create a short-answer question for beginner elementary students to develop reading comprehension through family members. Make the instructions direct and easy for a teacher to use.
english-language-learning,question words,Create a short-answer question for slightly challenging elementary students to develop question words through places in town. Use clear vocabulary and include the correct answer.
english-language-learning,describing people and places,Create a question that asks the student to explain their reasoning for moderate elementary students to develop describing people and places through classroom objects. Use a familiar real-life context and add a short hint.
english-language-learning,question words,Create a short-answer question for slightly challenging elementary students to develop question words through clothing. Use clear vocabulary and include the correct answer.
english-language-learning,basic vocabulary,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop basic vocabulary through school activities. Use a familiar real-life context and add a short hint.
english-language-learning,basic vocabulary,Create a two-part question for moderate elementary students to develop basic vocabulary through food. Avoid technical vocabulary and include a brief answer key.
english-language-learning,describing people and places,Create a comparison question for beginner elementary students to develop describing people and places through school activities. Make the instructions direct and easy for a teacher to use.
english-language-learning,basic vocabulary,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop basic vocabulary through food. Make the instructions direct and easy for a teacher to use.
english-language-learning,describing people and places,Create a short-answer question for slightly challenging elementary students to develop describing people and places through animals. Avoid technical vocabulary and include a brief answer key.
english-language-learning,basic vocabulary,Create a comparison question for slightly challenging elementary students to develop basic vocabulary through classroom objects. Use a familiar real-life context and add a short hint.
health-and-physical-education,healthy habits,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop healthy habits through personal boundaries. Use a familiar real-life context and add a short hint.
health-and-physical-education,safety,Create a two-part question for easy elementary students to develop safety through exercise. Avoid technical vocabulary and include a brief answer key.
health-and-physical-education,physical activity,Create a true-or-false question with a brief explanation for moderate elementary students to develop physical activity through personal boundaries. Use clear vocabulary and include the correct answer.
health-and-physical-education,safety,Create a simple scenario-based question for easy elementary students to develop safety through exercise. Use a familiar real-life context and add a short hint.
health-and-physical-education,nutrition,Create a comparison question for beginner elementary students to develop nutrition through hydration. Avoid technical vocabulary and include a brief answer key.
health-and-physical-education,nutrition,Create a comparison question for easy elementary students to develop nutrition through emotions. Use clear vocabulary and include the correct answer.
health-and-physical-education,healthy habits,Create a fill-in-the-blank question for moderate elementary students to develop healthy habits through personal boundaries. Use clear vocabulary and include the correct answer.
health-and-physical-education,nutrition,Create a fill-in-the-blank question for moderate elementary students to develop nutrition through road safety. Keep the question under 50 words and provide the answer.
health-and-physical-education,safety,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop safety through hydration. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,nutrition,Create a true-or-false question with a brief explanation for easy elementary students to develop nutrition through handwashing. Make the expected response possible using text only.
health-and-physical-education,safety,Create a true-or-false question with a brief explanation for beginner elementary students to develop safety through handwashing. Avoid technical vocabulary and include a brief answer key.
health-and-physical-education,emotional awareness,Create a two-part question for easy elementary students to develop emotional awareness through emotions. Avoid technical vocabulary and include a brief answer key.
health-and-physical-education,healthy habits,Create a short-answer question for moderate elementary students to develop healthy habits through posture. Keep the question under 50 words and provide the answer.
health-and-physical-education,physical activity,Create a simple scenario-based question for slightly challenging elementary students to develop physical activity through hydration. Use clear vocabulary and include the correct answer.
health-and-physical-education,emotional awareness,Create a comparison question for moderate elementary students to develop emotional awareness through sleep routines. Avoid technical vocabulary and include a brief answer key.
health-and-physical-education,healthy habits,Create a simple scenario-based question for easy elementary students to develop healthy habits through emotions. Use a familiar real-life context and add a short hint.
health-and-physical-education,personal hygiene,Create a comparison question for beginner elementary students to develop personal hygiene through handwashing. Ask only one main idea and include the correct answer.
health-and-physical-education,emotional awareness,Create a simple scenario-based question for easy elementary students to develop emotional awareness through handwashing. Use a familiar real-life context and add a short hint.
health-and-physical-education,nutrition,Create a question that asks the student to explain their reasoning for beginner elementary students to develop nutrition through personal boundaries. Use a familiar real-life context and add a short hint.
health-and-physical-education,nutrition,Create a comparison question for beginner elementary students to develop nutrition through road safety. Avoid technical vocabulary and include a brief answer key.
health-and-physical-education,safety,Create a true-or-false question with a brief explanation for moderate elementary students to develop safety through exercise. Keep the question under 50 words and provide the answer.
health-and-physical-education,emotional awareness,Create a multiple-choice question with four options for easy elementary students to develop emotional awareness through hydration. Make the expected response possible using text only.
health-and-physical-education,safety,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop safety through personal boundaries. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,nutrition,Create a fill-in-the-blank question for slightly challenging elementary students to develop nutrition through exercise. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,safety,Create a comparison question for beginner elementary students to develop safety through balanced meals. Use a familiar real-life context and add a short hint.
health-and-physical-education,safety,Create a multiple-choice question with four options for slightly challenging elementary students to develop safety through emotions. Avoid technical vocabulary and include a brief answer key.
health-and-physical-education,physical activity,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop physical activity through emotions. Ask only one main idea and include the correct answer.
health-and-physical-education,healthy habits,Create a true-or-false question with a brief explanation for moderate elementary students to develop healthy habits through balanced meals. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,healthy habits,Create a fill-in-the-blank question for beginner elementary students to develop healthy habits through handwashing. Make the expected response possible using text only.
health-and-physical-education,healthy habits,Create a short-answer question for moderate elementary students to develop healthy habits through sleep routines. Use clear vocabulary and include the correct answer.
health-and-physical-education,emotional awareness,Create a multiple-choice question with four options for beginner elementary students to develop emotional awareness through emotions. Make the expected response possible using text only.
health-and-physical-education,personal hygiene,Create a true-or-false question with a brief explanation for easy elementary students to develop personal hygiene through road safety. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,emotional awareness,Create a simple scenario-based question for beginner elementary students to develop emotional awareness through exercise. Ask only one main idea and include the correct answer.
health-and-physical-education,healthy habits,Create a question that asks the student to explain their reasoning for easy elementary students to develop healthy habits through hydration. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,emotional awareness,Create a simple scenario-based question for easy elementary students to develop emotional awareness through teamwork. Keep the question under 50 words and provide the answer.
health-and-physical-education,emotional awareness,Create a multiple-choice question with four options for beginner elementary students to develop emotional awareness through hydration. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,nutrition,Create a multiple-choice question with four options for slightly challenging elementary students to develop nutrition through handwashing. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,safety,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop safety through balanced meals. Use clear vocabulary and include the correct answer.
health-and-physical-education,healthy habits,Create a two-part question for moderate elementary students to develop healthy habits through handwashing. Use clear vocabulary and include the correct answer.
health-and-physical-education,personal hygiene,Create a short-answer question for moderate elementary students to develop personal hygiene through teamwork. Make the expected response possible using text only.
health-and-physical-education,healthy habits,Create a simple scenario-based question for easy elementary students to develop healthy habits through emotions. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,physical activity,Create a short-answer question for easy elementary students to develop physical activity through posture. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,personal hygiene,Create a simple scenario-based question for beginner elementary students to develop personal hygiene through hydration. Avoid technical vocabulary and include a brief answer key.
health-and-physical-education,physical activity,Create a question that asks the student to explain their reasoning for beginner elementary students to develop physical activity through emotions. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,personal hygiene,Create a short-answer question for moderate elementary students to develop personal hygiene through road safety. Use clear vocabulary and include the correct answer.
health-and-physical-education,personal hygiene,Create a comparison question for beginner elementary students to develop personal hygiene through emotions. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,physical activity,Create a two-part question for moderate elementary students to develop physical activity through exercise. Ask only one main idea and include the correct answer.
health-and-physical-education,safety,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop safety through road safety. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,healthy habits,Create a two-part question for beginner elementary students to develop healthy habits through sleep routines. Use clear vocabulary and include the correct answer.
health-and-physical-education,emotional awareness,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop emotional awareness through balanced meals. Keep the question under 50 words and provide the answer.
health-and-physical-education,healthy habits,Create a short-answer question for moderate elementary students to develop healthy habits through handwashing. Use clear vocabulary and include the correct answer.
health-and-physical-education,emotional awareness,Create a comparison question for slightly challenging elementary students to develop emotional awareness through road safety. Ask only one main idea and include the correct answer.
health-and-physical-education,nutrition,Create a comparison question for slightly challenging elementary students to develop nutrition through hydration. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,personal hygiene,Create a comparison question for moderate elementary students to develop personal hygiene through teamwork. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,safety,Create a fill-in-the-blank question for slightly challenging elementary students to develop safety through sleep routines. Use clear vocabulary and include the correct answer.
health-and-physical-education,healthy habits,Create a question that asks the student to explain their reasoning for easy elementary students to develop healthy habits through personal boundaries. Ask only one main idea and include the correct answer.
health-and-physical-education,personal hygiene,Create a simple scenario-based question for beginner elementary students to develop personal hygiene through sleep routines. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,nutrition,Create a simple scenario-based question for easy elementary students to develop nutrition through balanced meals. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,physical activity,Create a short-answer question for beginner elementary students to develop physical activity through sleep routines. Use clear vocabulary and include the correct answer.
health-and-physical-education,physical activity,Create a two-part question for easy elementary students to develop physical activity through emotions. Ask only one main idea and include the correct answer.
health-and-physical-education,nutrition,Create a question that asks the student to explain their reasoning for beginner elementary students to develop nutrition through hydration. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,physical activity,Create a question that asks the student to explain their reasoning for easy elementary students to develop physical activity through exercise. Use a familiar real-life context and add a short hint.
health-and-physical-education,physical activity,Create a multiple-choice question with four options for slightly challenging elementary students to develop physical activity through balanced meals. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,healthy habits,Create a short-answer question for easy elementary students to develop healthy habits through personal boundaries. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,emotional awareness,Create a two-part question for moderate elementary students to develop emotional awareness through emotions. Use clear vocabulary and include the correct answer.
health-and-physical-education,physical activity,Create a question that asks the student to explain their reasoning for moderate elementary students to develop physical activity through personal boundaries. Use a familiar real-life context and add a short hint.
health-and-physical-education,emotional awareness,Create a simple scenario-based question for slightly challenging elementary students to develop emotional awareness through personal boundaries. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,emotional awareness,Create a comparison question for moderate elementary students to develop emotional awareness through posture. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,nutrition,Create a question that asks the student to explain their reasoning for easy elementary students to develop nutrition through personal boundaries. Keep the question under 50 words and provide the answer.
health-and-physical-education,nutrition,Create a simple scenario-based question for slightly challenging elementary students to develop nutrition through exercise. Use a familiar real-life context and add a short hint.
health-and-physical-education,physical activity,Create a short-answer question for beginner elementary students to develop physical activity through teamwork. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,physical activity,Create a multiple-choice question with four options for beginner elementary students to develop physical activity through road safety. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,nutrition,Create a simple scenario-based question for easy elementary students to develop nutrition through sleep routines. Ask only one main idea and include the correct answer.
health-and-physical-education,safety,Create a fill-in-the-blank question for easy elementary students to develop safety through sleep routines. Make the instructions direct and easy for a teacher to use.
health-and-physical-education,emotional awareness,Create a simple scenario-based question for moderate elementary students to develop emotional awareness through balanced meals. Make the expected response possible using text only.
health-and-physical-education,emotional awareness,Create a short-answer question for easy elementary students to develop emotional awareness through road safety. Use age-appropriate language and explain the answer briefly.
health-and-physical-education,personal hygiene,Create a simple scenario-based question for moderate elementary students to develop personal hygiene through hydration. Keep the question under 50 words and provide the answer.
health-and-physical-education,nutrition,Create a comparison question for moderate elementary students to develop nutrition through emotions. Make the expected response possible using text only.
health-and-physical-education,physical activity,Create a two-part question for slightly challenging elementary students to develop physical activity through sleep routines. Ask only one main idea and include the correct answer.
health-and-physical-education,physical activity,Create a fill-in-the-blank question for slightly challenging elementary students to develop physical activity through exercise. Make the instructions direct and easy for a teacher to use.
arts-and-music,sound comparison,Create a true-or-false question with a brief explanation for moderate elementary students to develop sound comparison through patterns. Avoid technical vocabulary and include a brief answer key.
arts-and-music,creative expression,Create a two-part question for moderate elementary students to develop creative expression through patterns. Ask only one main idea and include the correct answer.
arts-and-music,sound comparison,Create a comparison question for moderate elementary students to develop sound comparison through patterns. Make the instructions direct and easy for a teacher to use.
arts-and-music,rhythm recognition,Create a simple scenario-based question for easy elementary students to develop rhythm recognition through a classroom art project. Make the expected response possible using text only.
arts-and-music,color and shape recognition,Create a true-or-false question with a brief explanation for beginner elementary students to develop color and shape recognition through a classroom art project. Use age-appropriate language and explain the answer briefly.
arts-and-music,creative expression,Create a comparison question for slightly challenging elementary students to develop creative expression through a classroom art project. Ask only one main idea and include the correct answer.
arts-and-music,sound comparison,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop sound comparison through rhythm. Use a familiar real-life context and add a short hint.
arts-and-music,color and shape recognition,Create a fill-in-the-blank question for moderate elementary students to develop color and shape recognition through warm and cool colors. Use age-appropriate language and explain the answer briefly.
arts-and-music,visual interpretation,Create a question that asks the student to explain their reasoning for moderate elementary students to develop visual interpretation through a dance. Avoid technical vocabulary and include a brief answer key.
arts-and-music,creative expression,Create a true-or-false question with a brief explanation for beginner elementary students to develop creative expression through a sculpture. Make the instructions direct and easy for a teacher to use.
arts-and-music,creative expression,Create a fill-in-the-blank question for easy elementary students to develop creative expression through a dance. Use age-appropriate language and explain the answer briefly.
arts-and-music,rhythm recognition,Create a question that asks the student to explain their reasoning for easy elementary students to develop rhythm recognition through a classroom art project. Use clear vocabulary and include the correct answer.
arts-and-music,rhythm recognition,Create a comparison question for easy elementary students to develop rhythm recognition through a classroom art project. Avoid technical vocabulary and include a brief answer key.
arts-and-music,rhythm recognition,Create a fill-in-the-blank question for moderate elementary students to develop rhythm recognition through a song. Keep the question under 50 words and provide the answer.
arts-and-music,visual interpretation,Create a fill-in-the-blank question for easy elementary students to develop visual interpretation through warm and cool colors. Use clear vocabulary and include the correct answer.
arts-and-music,art appreciation,Create a short-answer question for easy elementary students to develop art appreciation through warm and cool colors. Make the instructions direct and easy for a teacher to use.
arts-and-music,visual interpretation,Create a true-or-false question with a brief explanation for easy elementary students to develop visual interpretation through textures. Use age-appropriate language and explain the answer briefly.
arts-and-music,color and shape recognition,Create a comparison question for slightly challenging elementary students to develop color and shape recognition through a dance. Use age-appropriate language and explain the answer briefly.
arts-and-music,visual interpretation,Create a two-part question for easy elementary students to develop visual interpretation through a song. Keep the question under 50 words and provide the answer.
arts-and-music,sound comparison,Create a question that asks the student to explain their reasoning for easy elementary students to develop sound comparison through patterns. Use clear vocabulary and include the correct answer.
arts-and-music,visual interpretation,Create a simple scenario-based question for slightly challenging elementary students to develop visual interpretation through patterns. Ask only one main idea and include the correct answer.
arts-and-music,visual interpretation,Create a comparison question for beginner elementary students to develop visual interpretation through a song. Ask only one main idea and include the correct answer.
arts-and-music,rhythm recognition,Create a two-part question for moderate elementary students to develop rhythm recognition through rhythm. Use a familiar real-life context and add a short hint.
arts-and-music,rhythm recognition,Create a fill-in-the-blank question for easy elementary students to develop rhythm recognition through a painting. Make the expected response possible using text only.
arts-and-music,creative expression,Create a short-answer question for easy elementary students to develop creative expression through textures. Make the expected response possible using text only.
arts-and-music,sound comparison,Create a short-answer question for slightly challenging elementary students to develop sound comparison through warm and cool colors. Use a familiar real-life context and add a short hint.
arts-and-music,sound comparison,Create a comparison question for beginner elementary students to develop sound comparison through rhythm. Make the expected response possible using text only.
arts-and-music,art appreciation,Create a simple scenario-based question for moderate elementary students to develop art appreciation through a dance. Ask only one main idea and include the correct answer.
arts-and-music,creative expression,Create a fill-in-the-blank question for beginner elementary students to develop creative expression through a dance. Keep the question under 50 words and provide the answer.
arts-and-music,visual interpretation,Create a simple scenario-based question for moderate elementary students to develop visual interpretation through rhythm. Use age-appropriate language and explain the answer briefly.
arts-and-music,creative expression,Create a fill-in-the-blank question for moderate elementary students to develop creative expression through a sculpture. Use a familiar real-life context and add a short hint.
arts-and-music,art appreciation,Create a short-answer question for beginner elementary students to develop art appreciation through rhythm. Make the instructions direct and easy for a teacher to use.
arts-and-music,art appreciation,Create a question that asks the student to explain their reasoning for moderate elementary students to develop art appreciation through a painting. Keep the question under 50 words and provide the answer.
arts-and-music,rhythm recognition,Create a true-or-false question with a brief explanation for easy elementary students to develop rhythm recognition through rhythm. Keep the question under 50 words and provide the answer.
arts-and-music,art appreciation,Create a short-answer question for beginner elementary students to develop art appreciation through warm and cool colors. Keep the question under 50 words and provide the answer.
arts-and-music,sound comparison,Create a question that asks the student to explain their reasoning for moderate elementary students to develop sound comparison through a sculpture. Use age-appropriate language and explain the answer briefly.
arts-and-music,rhythm recognition,Create a short-answer question for slightly challenging elementary students to develop rhythm recognition through a classroom art project. Use age-appropriate language and explain the answer briefly.
arts-and-music,art appreciation,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop art appreciation through a song. Make the expected response possible using text only.
arts-and-music,art appreciation,Create a comparison question for beginner elementary students to develop art appreciation through patterns. Avoid technical vocabulary and include a brief answer key.
arts-and-music,color and shape recognition,Create a multiple-choice question with four options for slightly challenging elementary students to develop color and shape recognition through musical instruments. Use age-appropriate language and explain the answer briefly.
arts-and-music,color and shape recognition,Create a fill-in-the-blank question for beginner elementary students to develop color and shape recognition through patterns. Ask only one main idea and include the correct answer.
arts-and-music,rhythm recognition,Create a multiple-choice question with four options for moderate elementary students to develop rhythm recognition through a dance. Use age-appropriate language and explain the answer briefly.
arts-and-music,color and shape recognition,Create a multiple-choice question with four options for beginner elementary students to develop color and shape recognition through rhythm. Make the instructions direct and easy for a teacher to use.
