,prompt,response_1,response_2,response_3,response_4
205,"Prepare a single easy question about the least common multiple for a young learner ready for a challenge in the context of a family picnic, using two small multiples. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","assistant

What is the least common multiple of 12 and 24?","assistant

What is the least common multiple of 6 and 12?","assistant

What is the least common multiple of 12 and 18?","assistant

What is the least common multiple of 6 and 12?"
206,"Prepare one slightly challenging question comparing two whole numbers for a young math learner in the context of a farm, using three quantities. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

Tom has 15 cows on his farm. He wants to buy more cows. He has 8 more cows to buy. How many cows will Tom have in total?","assistant

Tom has 15 cows on his farm. He has 8 more cows than his friend Alex, and Alex has 5 fewer cows than 3 times the number of cows Tom has. How many cows does Tom have?","assistant

Tom has 15 baskets of apples. His friend Emma has 25 baskets of carrots. How many baskets of apples does Tom have compared to Emma?","assistant

Tom has 15 cows on his farm. His friend Emma has 20 cows. How many more cows does Tom have than Emma?"
207,"Make a single basic question that uses subtraction followed by addition for a young math learner in the context of a community park, with one clear final question. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","assistant

What is the total number of swings in the community park if there are 15 swings in the big tree and 8 swings in the small tree?","assistant

What is the total number of swings in the park if 15 children are using the swings and 7 children are standing still on the ground?","assistant

What is the total number of swings in the park if 15 children are playing on the swings and 8 children are sitting on the benches?","assistant

What is the total number of swings in the community park if there are 15 swings and 8 are broken, and 7 more swings were added?"
208,"Prepare a single slightly challenging question about sides and vertices for a primary school student in the context of a camping trip, using triangles and quadrilaterals. Avoid unnecessary details. Return one question only, written as plain text.","assistant

What is the sum of the interior angles of a quadrilateral with two sides that are equal in length?","assistant

What is the name of the shape that has four sides and four right angles?","assistant

What is the name of the shape that has three sides and four angles, and is formed by connecting four points on a piece of string?","assistant

What is the name of the shape that has three sides and four angles, and is formed by two triangles joined together?"
209,"Make one moderate simple number-pattern question for a primary school student learning advanced topics in the context of a birthday party, using subtraction. Use one direct question at the end. Return only the question in plain text, with no answer or explanation.","assistant

What number do you need to subtract from 25 to get 17?","assistant

What number is missing from the pattern: 8, 15, 22, 29, 36, ?","assistant

What number is missing from the pattern: 8, 15, 22, 29, 36, ?","assistant

What number do you subtract from 15 to get 7?"
210,"Create a single simple question that requires finding a total for a primary school student in the context of a bus trip, using numbers up to 50. Make all needed information explicit. Give only the question as plain text. Do not include the solution.","assistant

What is the total cost of the bus tickets for 25 students going to a school trip, with each ticket costing $8, if the bus company charges a $2 per ticket service fee and a $1 per student transportation fee?","assistant

What is the total cost of a bus ticket for a 10-day trip from London to Paris, with a change of 5 stops, and a return ticket from Paris to London?","assistant

What is the total number of students on a bus that travels 25 kilometers and has 8 stops, with 3 students on the bus at the beginning and 2 students at the end?","assistant

What is the total cost of the bus tickets for 25 students going to a school trip, if the cost of a single ticket is $8, and there are 5 buses available?"
211,"Make one simple subtraction word problem for a student learning basic mathematics in the context of a bakery, using numbers up to 100. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

A bakery sells 25 loaves of bread per day. If they sell 35 loaves of bread per day, how many loaves of bread are left?","assistant

Tom's Bakery sells 25 loaves of bread per day. They sell 15 loaves of bread per day. How many loaves of bread does Tom's Bakery sell per day?","assistant

A bakery sells 25 loaves of bread per day. If they sell 35 loaves of bread per day, and they have 50 loaves of bread left over, how many loaves of bread did they sell?","assistant

A bakery sells 25 loaves of bread per day. They sell 30 loaves of bread per day. If they sell 40 more loaves of bread than usual, how many loaves of bread does the bakery sell per day?"
212,"Make one easy challenging multi-step math word problem for a young learner ready for a challenge in the context of a bakery, combining time and addition. Use familiar vocabulary. Return one question only, written as plain text.","assistant

A bakery sells 250 loaves of bread per day. If they sell 120 loaves of bread in the morning and 80 loaves in the afternoon, how many loaves of bread do they sell in total in a day?","assistant

A bakery is preparing for a busy Saturday morning. They need to package 18 dozen cupcakes for a special order. If they have 3 boxes of cupcakes per shelf, and each shelf can hold 12 cupcakes, how many cupcakes will they need to pack in total?","assistant

A bakery is preparing for a busy Saturday morning. They need to package 15 dozen cupcakes for a wedding order. Each dozen contains 12 cupcakes. If they have 8 more cupcakes to package, how many cupcakes will they need to package in total?","assistant

A bakery is preparing for a busy Saturday morning. They need to package 15 dozen cupcakes for a wedding order. If they have 8 boxes of cupcakes in stock and each box contains 12 cupcakes, how many cupcakes will they need to order to meet the demand?"
213,"Prepare one simple missing-number equation for a young learner ready for a challenge in the context of a family picnic, using multiplication. Avoid unnecessary details. Return one question only, written as plain text.","assistant

2 x 5 = ?","assistant

2 x 5 = ?","assistant

2 x 5 = ?","assistant

2 x 5 = ?"
214,"Create a single basic question requiring the GCD of two numbers for a primary school student learning advanced topics in the context of a toy store, asking for the largest possible group size. Use whole numbers only. Give only the question as plain text. Do not include the solution.","assistant

What is the largest possible group size of customers that can be served by a toy store with a limited number of shelves, if each shelf can hold a maximum of 20 toys and the store has 5 shelves?","assistant

What is the largest possible group size that can be formed using the numbers 3 and 5 as the base numbers, with the condition that the group size must be divisible by both 3 and 5?","assistant

What is the largest possible group size that can be formed by combining two numbers from a set of 5 numbers, where the numbers are all multiples of 3?","assistant

What is the largest possible group size that can be formed by combining two numbers from a set of 5 numbers, such that their greatest common divisor (GCD) is 12?"
215,"Generate a single moderate question about equal groups for an upper elementary student in the context of a bakery, using three equal groups. Use familiar vocabulary. Use plain text only and provide no solution or explanation.","assistant

What is the main difference between a batch of flour and a batch of sugar?","assistant

What is the main difference between a batch and a batch in a bakery?","assistant

What is the main difference between a batch of 8 equal groups of 3, and a batch of 12 equal groups of 4?","assistant

What is the main difference between a batch of flour and a batch of sugar?"
216,"Create a single slightly challenging question requiring the GCD of two numbers for a young learner ready for a challenge in the context of a playground, using numbers below 50. Use whole numbers only. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common divisor of 24 and 36?","assistant

What is the GCD of 24 and 48?","assistant

What is the GCD of 24 and 36?","assistant

What is the greatest common divisor of 24 and 36?"
217,"Generate a single basic question about a daily schedule for an upper elementary student in the context of a beach visit, with an interval shorter than two hours. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

When is the school bus leaving for the beach?","assistant

When is the school bus leaving for the beach?","assistant

What time do you arrive at the beach?","assistant

When is the school bus leaving for the beach?"
218,"Write one slightly challenging question that uses addition followed by subtraction for an elementary student in the context of a birthday party, with no negative answer. Make all needed information explicit. Return one question only, written as plain text.","assistant

What is the total number of party hats that Emma has in her party hat box, if she has 15 party hats and she gave 7 to her friend, and then she added 12 more party hats to the box?","assistant

What is 5 + 7 - 3?","assistant

What is the total number of party hats that Sarah has in her party hat box if she has 15 party hats and 7 of them are blue, and 8 of them are red?","assistant

What is the total number of balloons that Sarah has in her party favor box if she has 15 balloons and 8 are already taken out and 7 more balloons were added to the box?"
219,"Prepare a single slightly challenging ratio word problem for a primary school student learning advanced topics in the context of a bus trip, using an equivalent-ratio situation described with words. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","assistant

A school bus is traveling from City A to City B. The bus has 25 students on board, and the bus driver has 3 extra seats available. What fraction of the bus is filled with students?","assistant

A group of 15 students are traveling on a bus to a school trip. The ratio of boys to girls on the bus is 3:5. If the number of boys is 9, how many girls are on the bus?","assistant

A school bus is traveling from City A to City B. The bus has 250 students on board. The ratio of boys to girls on the bus is 3:5. How many boys and girls are on the bus?","assistant

A group of 15 students are traveling on a bus from school to a summer camp. The bus has 3 rows of seats, with 5 students in each row. How many students will be left standing after the bus is filled to capacity?"
220,"Make a single moderate question about choosing the correct time for a primary school student in the context of a fruit shop, using times to the nearest five minutes. Use familiar vocabulary. Give only the question as plain text. Do not include the solution.","assistant

What time should a primary school student choose to buy a fruit to eat at school?","assistant

What time should a primary school student choose to buy a 10-minute apple from the fruit shop to get to school on time for their 9:15 class?","assistant

What time should a fruit shop open to attract customers who want to buy fruit and vegetables at the best price?","assistant

What time should a fruit shop open to attract more customers?"
221,"Make a single easy ratio word problem for an upper elementary student in the context of a bakery, using numbers below 10. Make all needed information explicit. Return one question only, written as plain text.","assistant

A bakery sells 5 dozen cupcakes per day. If they sell 8 cupcakes per box, how many boxes are sold per day?","assistant

Maria is making a batch of cupcakes for a birthday party. She needs to package 5 dozen cupcakes. If each dozen contains 12 cupcakes, how many cupcakes will Maria need to package in total?","assistant

Here's a simple ratio word problem for an upper elementary student:

A bakery sells 5 loaves of bread per day. Each loaf costs $2.50. If the bakery wants to make a profit of $1.50 per loaf, how many loaves of bread should they sell per day to make a total profit of $6.00?","assistant

A bakery sells 5 dozen cupcakes per day. If they sell 3 dozen cupcakes per hour, how many cupcakes are sold per hour?"
222,"Prepare a single simple mixed-skills mathematics challenge for an upper elementary student in the context of a pet shelter, without requiring a drawing. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","assistant

What is the total number of animals in the shelter if 15 dogs and 20 cats are already present, and 8 more dogs and 12 more cats are coming in?","assistant

What is the total number of animals in the shelter if 15 dogs and 20 cats are already present, and 5 more dogs and 15 cats are added?","assistant

What is the total number of animals in the shelter that are dogs?

A) 10
B) 15
C) 20
D) 25","assistant

What is the total number of animals in the shelter if 15 dogs and 20 cats are currently living there, and 5 more dogs and 3 more cats are coming in?"
223,"Generate one basic addition question with three addends for an upper elementary student in the context of a camping trip, using three small whole numbers. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

What is 2 + 5 + 8?","assistant

What is 2 + 5 + 8?","assistant

What is 2 + 5 + 8?","assistant

What is 2 + 5 + 8?"
224,"Make one easy question about finding a total and then what remains for a primary school student in the context of a book fair, with simple regrouping. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the total cost of the books in the book fair?","assistant

What is the total of 5 + 2 + 1?","assistant

What is the total cost of the books in the book fair?

$120","assistant

What is the total of 5 + 2 + 8?"
225,"Make one slightly challenging question about adding two quantities for an upper elementary student in the context of a pet shelter, with simple regrouping. Avoid unnecessary details. Output only the question in text form, without hints or an answer.","assistant

What is the total number of cats and dogs that the shelter has in total if they have 15 cats and 25 dogs, and they have 8 more cats than dogs?","assistant

What is the total number of cats and dogs that are currently living in the shelter, if there are 15 cats and 8 dogs, and 5 more cats than dogs?","assistant

What is the total number of animals that can be adopted from the shelter if 15 dogs and 20 cats are adopted, and 5 more dogs and 3 more cats are adopted?","assistant

What is the total number of animals that can be adopted from the shelter if 15 dogs and 20 cats are adopted, and 5 more dogs and 3 cats are adopted?"
226,"Make a single basic simple LCM word problem for a young learner ready for a challenge in the context of a book fair, using a school schedule situation. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","assistant

Tom has 5 days to prepare for the school fair. He wants to buy 15 boxes of pencils, 8 boxes of crayons, and 12 boxes of stickers. How many boxes of each will he need in total?","assistant

Tommy has 5 classes in his school schedule. Each class is 45 minutes long. How many minutes will Tommy have for lunch?","assistant

Tommy has 3 classes in a day. Each class has 4 periods. How many periods does Tommy have in total?","assistant

Tommy has 8 days of school left before the book fair. He has 5 books to buy for his class. Each book costs $5. How much will Tommy spend in total?"
227,"Create one simple multiplication word problem for a student learning basic mathematics in the context of a pet shelter, with a product below 100. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

A pet shelter has 15 dogs and 8 cats. How many animals does the shelter have in total?","assistant

A pet shelter has 15 dogs and 25 cats available for adoption. If they want to set up a sale to raise funds for the shelter, they decide to sell dog food for $2 per pound and cat food for $3 per pound. How much money will they make in total from the sale?","assistant

A pet shelter has 15 dogs and 25 cats. How many animals does the shelter have in total?","assistant

A pet shelter has 15 dogs and 25 cats. How many animals does the shelter have in total?"
228,"Create a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, with no negative answer. Use whole numbers only. Use plain text only and provide no solution or explanation.","assistant

Tommy had 15 seashells in his bucket. He gave 7 seashells to his friend. How many seashells does Tommy have left?","assistant

**Problem:**

Tommy and his friend Alex went to the beach. They had 15 buckets of sand and 25 seashells. They used 8 buckets of sand to build a sandcastle. How many buckets of sand did Tommy and Alex have left?

**Answer:**

25","assistant

**Problem:**

Tommy and his friend Alex went to the beach. They collected 5 seashells and 8 pebbles. If they had 12 seashells and 15 pebbles, how many seashells and pebbles do they have in total?

**Answer:**

*   Seashells: 5 + 12 = 17
*   Pebbles: 8 + 15 = 23","assistant

Tom has 15 seashells in his beach bag. He finds 7 more shells on the beach. How many seashells does Tom have now?"
229,"Create one basic geometry question about shape properties for a young math learner in the context of a music class, using whole-number side lengths. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","assistant

What is the perimeter of a square with a side length of 5 cm?","assistant

What is the type of shape with four right angles and four sides of equal length?","assistant

What is the type of shape with four right angles and four sides of equal length?","assistant

What is the sum of the interior angles of a triangle with sides of lengths 3, 4, and 5?"
230,"Create a single moderate question about equal groups for an upper elementary student in the context of a sports day, using one-digit factors. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","assistant

What is the number of groups of 2 that can be made from 6 students?","assistant

What is the product of the numbers 2 and 5?","assistant

What is the product of the factors of 6?","assistant

What is the product of the two factors that multiply to give 12?"
231,"Generate one simple logic-based elementary math question for a primary school student learning advanced topics in the context of a playground, combining subtraction and division. Make all needed information explicit. Use plain text only and provide no solution or explanation.","assistant

A group of 15 children are playing on the swings. 7 children are on the merry-go-round. 3 children are on the slide. How many children are on the playground?","assistant

A group of 12 children are playing on the swings. 6 children are on the slide. If 4 more children join the swing group, how many children are on the swing group now?","assistant

Tom has 18 balls in his bag. He gives 7 balls to his friend. How many balls does Tom have left?","assistant

A group of 15 students are playing a game of tag.  If 3 students are playing tag and 2 more students are hiding, how many students are hiding in the playground?"
232,"Write one simple question comparing two geometric shapes for a student learning basic mathematics in the context of a science fair, using triangles and quadrilaterals. Make all needed information explicit. Return one question only, written as plain text.","assistant

What is the difference between a triangle and a quadrilateral?","assistant

What is the difference between a triangle and a quadrilateral in terms of their angles and side lengths?","assistant

What is the main difference between a triangle and a quadrilateral in terms of their angles and side lengths?","assistant

What is the difference between a triangle and a quadrilateral in terms of their angles and sides?"
233,"Create one easy question about the least common multiple for a primary school student learning advanced topics in the context of a beach visit, using two repeating time intervals. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","assistant

What is the least common multiple of 2 hours and 45 minutes?","assistant

What is the least common multiple of 2 hours and 30 minutes?","assistant

What is the least common multiple of 2 hours and 30 minutes?","assistant

What is the least common multiple of 2 hours and 45 minutes?"
234,"Prepare one basic short sum problem for an elementary student in the context of a birthday party, with no regrouping. Make the situation realistic. Use plain text only and provide no solution or explanation.","assistant

Tommy is having a birthday party for his 8th birthday. He has 5 friends coming to the party. His mom has 3 tables with 2 plates of food each. How many plates of food will Tommy have at his party?","assistant

Tommy is having a birthday party for his 8th birthday. He has invited 12 friends to come. His mom has 6 plates of cookies and 8 glasses of juice. How many plates and glasses of juice will Tommy have at his party?","assistant

Tommy's 8th birthday party is coming up and he wants to make a cake that looks like a giant ice cream cone. He wants the cone to be 6 inches tall and 8 inches wide. If he has 3 bags of sprinkles that are 1 inch in diameter, how many sprinkles will he need to buy?","assistant

Tommy is having a birthday party and he wants to give his friends a special gift. He has 15 boxes of candy to distribute. If he gives 3 boxes to each of his 5 friends, how many boxes will he have left?"
235,"Generate one simple question that requires finding a total for an elementary student in the context of a bakery, using one missing addend. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

Tommy's Bakery is having a sale on bread. A loaf of whole wheat bread normally costs $2.50, but it's on sale for $1.75. If Tommy buys 3 loaves of bread, how much will he pay in total?","assistant

Tommy's Bakery is having a sale on bread. A loaf of whole wheat bread normally costs $2.50. If Tommy sells 3 loaves at $2.25 each, how much money will he make in total?","assistant

Tommy is making a batch of chocolate chip cookies for his school bake sale. He needs to package 48 cookies into boxes of 6, but he only has 30 cookies left over after baking. How many boxes can Tommy fill with the leftover cookies?","assistant

Tommy has 15 cupcakes to package for a bake sale. He has 3 boxes of cupcakes to fill, and each box contains 5 cupcakes. How many cupcakes will Tommy have to package in total?"
236,"Prepare a single moderate question about choosing the correct time for an elementary student in the context of a family picnic, using quarter hours. Make all needed information explicit. Return one question only, written as plain text.","assistant

What time should you choose for a family picnic if you want to ensure everyone has enough time to eat, play games, and have a good time?","assistant

What time should you choose for a family picnic to ensure everyone has enough time to eat, play, and relax?","assistant

What time should you choose for a family picnic to ensure everyone has enough time to eat, play, and enjoy the outdoors?","assistant

What is the best time to choose for an elementary student's family picnic, considering the quarter-hour format?"
237,"Generate a single slightly challenging question with more than one useful piece of information for a primary school student learning advanced topics in the context of a farm, combining addition and multiplication. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A farmer is planning to plant 480 rows of wheat in a field. Each row needs 6 baskets of wheat, and each basket can hold 8 kilograms of wheat. If the farmer already has 120 baskets of wheat, how many kilograms of wheat will he have in total to plant in the field?","assistant

Tom has 15 baskets of apples, and he wants to pack them into boxes that hold 3 apples each. How many boxes can Tom fill with the apples from his baskets?","assistant

A farmer is planning to plant a field with 480 acres of land, and she wants to divide it into 8 equal sections for her 3 neighboring farms. If each section is to be planted with a different type of crop, and she has 12 rows of wheat, 15 rows of corn, and 20 rows of soybeans, how many acres will each farm get for planting wheat, corn, and soybeans?","assistant

Tom has 15 baskets of apples, and each basket contains 8 apples. If he wants to pack them into boxes that hold 4 apples each, how many boxes can he fill?"
238,"Make one slightly challenging question asking how much more one group has for a student learning basic mathematics in the context of a playground, using three quantities. Use one direct question at the end. Return one question only, written as plain text.","assistant

How much more does a group of 5 students have in their piggy banks than a group of 3 students?","assistant

How much more does a group of 5 students have than a group of 3 students in the context of a playground?","assistant

How many more swings does a student have for a group of 8 students compared to a group of 6 students in a playground?","assistant

How many more swings do you have for a group of 5 students compared to a group of 3 students in a playground?"
239,"Prepare a single slightly challenging question about rows and columns described with words for a young math learner in the context of a playground, using four equal groups. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

What is the ratio of the number of swings in the tall group to the number of swings in the short group?","assistant

What is the ratio of the number of swings in the tall group to the number of swings in the short group?","assistant

What is the number of rows and columns in a rectangular playground with 8 rows and 6 columns?","assistant

What is the ratio of the number of swings in the tall group to the number of swings in the short group?"
240,"Generate a single simple short sum problem for a young math learner in the context of a book fair, using numbers up to 100. Make the situation realistic. Give only the question as plain text. Do not include the solution.","assistant

Tom has 25 boxes of pencils, and each box contains 15 pencils. How many pencils does Tom have in total?","assistant

Tom has been saving up for a new bike and has $120 in his savings account. He plans to buy a bike that costs $180. Tom's parents have agreed to give him an allowance of $20 per week for doing chores. How many weeks will it take Tom to save enough money to buy the bike?","assistant

Tom has been saving money for a new bike and has $120 in his savings account. He wants to buy a bike that costs $180. Tom's parents have agreed to give him an allowance of $15 per week for doing chores. How many weeks will it take Tom to save enough money to buy the bike?","assistant

Tom has been saving up for a new bike and has $120 in his savings account. He wants to buy a bike that costs $180. If he earns $15 per hour working at the local library, how many hours will he need to work to have enough money to buy the bike?"
241,"Prepare one moderate question comparing two whole numbers for an elementary student in the context of a pet shelter, with a short real-life situation. Use one direct question at the end. Return only the question in plain text, with no answer or explanation.","assistant

What is the difference between 5 and 7?","assistant

What is the difference between 5 and 7?","assistant

What is the difference between 5 and 7?","assistant

What is the difference between 5 and 7?"
242,"Make a single basic question comparing two geometric shapes for an elementary student in the context of a birthday party, using triangles and quadrilaterals. Keep the question concise. Use plain text only and provide no solution or explanation.","assistant

What is the difference between a square and a rectangle?","assistant

What is the difference between a triangle and a quadrilateral?","assistant

What is the difference between a triangle and a quadrilateral?","assistant

What is the difference between a square and a rectangle?"
243,"Prepare a single easy question using one unknown value for an upper elementary student in the context of a sports day, using numbers below 50. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the average height of a 10-year-old boy who plays soccer?","assistant

What is the average height of a 10-year-old boy who plays soccer in a local school team?","assistant

What is the average number of points scored by a basketball player in a game if they score 15 points in 5 games?","assistant

What is the total number of points scored by the team in the basketball game if they won 25 games and lost 12 games?"
244,"Create one simple elapsed-time word problem for a primary school student in the context of a school cafeteria, using an afternoon activity. Avoid unnecessary details. Give only the question as plain text. Do not include the solution.","assistant

The cafeteria is running a special activity today. The lunch ladies have prepared a new game of ""Pin the T-Shirt on the Person."" The game is being played in the cafeteria during lunch. How many students are participating in the game?","assistant

The school cafeteria is running out of pizza. The pizza delivery guy will arrive in 30 minutes. If the cafeteria has 120 pizzas to deliver, how many pizzas will be left after the delivery guy arrives?","assistant

A group of students are eating lunch in the cafeteria. They have been eating for 10 minutes. How many minutes will they have eaten lunch?","assistant

A group of students are eating lunch in the cafeteria. They have been eating for 10 minutes. How many minutes will they have eaten lunch?"
245,"Generate a single easy short difference problem for an elementary student in the context of a playground, with no borrowing. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Tommy has 15 pencils in his pencil case. His friend gives him 7 more pencils. How many pencils does Tommy have now?","assistant

Tommy has 5 pencils in his pencil case. His friend gives him 2 more pencils. How many pencils does Tommy have now?","assistant

Tommy has 15 balls in his pocket. He gives 5 to his friend. How many balls does Tommy have left?","assistant

Tommy has 15 pencils in his pencil case. He gives 5 to his friend Emma. How many pencils does Tommy have left?"
246,"Write a single basic question about equal sharing for an upper elementary student in the context of a classroom, with equal group sizes. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

What is the best way to share a group project among 10 students in a classroom?","assistant

What is the best way to divide a group of 12 students into equal-sized teams for a science experiment?","assistant

What is the best way to divide a group of students into equal-sized teams for a group project?","assistant

What is the purpose of dividing students into equal groups in a classroom?"
247,"Generate a single easy short difference problem for a student learning basic mathematics in the context of a sports day, using numbers up to 100. Make all needed information explicit. Return one question only, written as plain text.","assistant

What is the difference between 25 and 15?","assistant

Here's a short difference problem for a student learning basic mathematics in the context of a sports day:

""Tommy's favorite sports day is coming up, and he wants to buy a new pair of sneakers. He has $120 to spend. His parents have given him a $20 gift card to the sports store. How much money will Tommy have left after buying the sneakers?""

Answer: $100","assistant

Here's a simple math problem for a student learning basic mathematics in the context of a sports day:

""Tom has 25 boxes of 10 marbles each. How many marbles does Tom have in total?""","assistant

Here's a simple math problem for a student learning basic mathematics in the context of a sports day:

""Tom has 25 boxes of 10 marbles each. How many marbles does Tom have in total?"""
248,"Prepare one moderate subtraction question with a missing number for an upper elementary student in the context of a book fair, using numbers up to 20. Make all needed information explicit. Return one question only, written as plain text.","assistant

Here's a moderate subtraction question for an upper elementary student:

""Tom has 15 pencils in his pencil case. He gives 7 pencils to his friend Emma. How many pencils does Tom have left?""","assistant

Here's a moderate subtraction question for an upper elementary student:

""Tommy has 15 pencils in his pencil case. He gives 7 pencils to his friend Emma. How many pencils does Tommy have left?""","assistant

Here's a moderate subtraction question for an upper elementary student:

""Tom has 15 books in his bookshelf. He gives 7 books to his friend Emma. How many books does Tom have left?""","assistant

Here's a moderate subtraction question for an upper elementary student:

""Tom has 15 pencils in his pencil case. He gives 7 pencils to his friend Emma. How many pencils does Tom have left?"""
249,"Make a single simple question about reading a written clock time for an elementary student in the context of a family picnic, using quarter hours. Keep the question concise. Return one question only, written as plain text.","assistant

What is the time on the clock when it is 3:15 in the afternoon?","assistant

What time is it on the clock?","assistant

What is the time on the clock when it is 2:15 in the afternoon?","assistant

What is the time on the clock at 3:15?"
250,"Create one simple subtraction question with a missing number for a student learning basic mathematics in the context of a playground, using numbers up to 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","assistant

What is 50 - 20?","assistant

What is 50 - 20?","assistant

What is 50 - 20?","assistant

What is 50 - 20?"
251,"Make one basic logic-based elementary math question for an upper elementary student in the context of a pet shelter, combining subtraction and division. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is 15 - 7 ÷ 3?","assistant

What is 48 ÷ 6 - 8?","assistant

What number of dogs can be put into a kennel if 15 dogs are already in the kennel and 3 more are added?","assistant

What is 15 - 3 ÷ 2?"
252,"Make a single easy missing-number equation for a primary school student learning advanced topics in the context of a farm, using division with no remainder. Avoid unnecessary details. Return one question only, written as plain text.","assistant

What is the number of baskets of apples that Farmer Brown has in his orchard if he has 15 baskets of apples and each basket contains 8 apples?","assistant

What is the number of baskets of apples that Farmer Brown has in his orchard if he has 15 baskets of apples and he wants to put 3 baskets in each of 5 trees?","assistant

What number, when divided by 8, leaves a remainder of 3?","assistant

What number, when divided by 8, leaves a remainder of 3, will also be divisible by 4?"
253,"Make one slightly challenging question about finding a total and then what remains for an upper elementary student in the context of a toy store, using numbers up to 20. Use familiar vocabulary. Output only the question in text form, without hints or an answer.","assistant

What percentage of the toys in the store are blocks, dolls, and cars?","assistant

What percentage of the toys in the store are 10, 15, 20, 5, and 8?","assistant

What number, when added to 15, equals 25?","assistant

What is the total of 5 + 12 + 8 + 3 + 1 + 9 + 6 + 4 + 2 + 15 + 18 + 7 + 11 + 14 + 10 + 5 + 13 + 16 + 9 + 12 + 1 + 6 + 4 + 3 + 2 + 8 + 5 + 10 + 9 + 14 + 1 + 7 + 6 + 3 + 11 + 16 + 12 + 5 + 9 + 4 + 10 + 18 + 1 + 13 + 2 + 15 + 8 + 6 + 11 + 9 + 14 + 3 + 10 + 12 + 7 + 16 + 5 + 13 + 4 + 2 + 11 + 9 + 18 + 1"
254,"Make a single slightly challenging short division fact problem for an elementary student in the context of a fruit shop, using a simple sharing situation. Use whole numbers only. Give only the question as plain text. Do not include the solution.","assistant

Tom has 18 apples in a basket and wants to share them equally among 6 friends. How many apples will each friend get?","assistant

Tom has 18 apples in a fruit basket. He wants to share them equally among 6 friends. How many apples will each friend get?","assistant

Tom has 18 apples in a fruit basket. He wants to share them equally among 6 friends. How many apples will each friend get?","assistant

Tom has 18 apples in a fruit basket. He wants to share them equally among 6 friends. How many apples will each friend get?"
255,"Write one slightly challenging question using repeated addition for an elementary student in the context of a family picnic, with a product below 100. Keep the wording clear and age-appropriate. Output only the question in text form, without hints or an answer.","assistant

Tommy has 25 cookies to share with his family at the picnic. His sister, Emma, gets 15 more cookies for her birthday. How many cookies will Tommy have left after sharing with Emma?","assistant

What is the sum of 25 + 17 + 32 + 19 + 46?","assistant

Tommy has 25 pencils in his pencil case. His mom gives him 15 more pencils as a gift. How many pencils does Tommy have now?","assistant

Tommy has 25 pencils in his pencil case. His mom gives him 17 more pencils as a gift. How many pencils does Tommy have now?"
256,"Write one easy question about sides and vertices for a young math learner in the context of a school cafeteria, using triangles and quadrilaterals. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the sum of the interior angles of a quadrilateral if it has 4 sides?","assistant

What is the sum of the interior angles of a quadrilateral with two sides that are congruent?","assistant

What is the sum of the interior angles of a quadrilateral if the sum of its interior angles is 360 degrees and all sides are equal?","assistant

What is the sum of the interior angles of a quadrilateral if it has two pairs of congruent angles?"
257,"Write a single basic question that uses subtraction followed by addition for a student learning basic mathematics in the context of a playground, using numbers up to 20. Use one direct question at the end. Use plain text only and provide no solution or explanation.","assistant

5 - 3 + 2","assistant

10 - 5 + 2","assistant

What is 15 - 8 + 12?","assistant

4 - 2 + 5"
258,"Make a single basic question about finding a total and then what remains for a student learning basic mathematics in the context of a farm, using three quantities. Use whole numbers only. Return one question only, written as plain text.","assistant

What is the total amount of money in the farm's savings account after a farmer buys 15 cows and 20 pigs, and the farmer also spends 30 chickens on feed?","assistant

What is the total amount of money collected from selling the crops in a week, if the farmer collected $120 from selling 5 baskets of apples, $180 from selling 8 baskets of carrots, and $240 from selling 12 baskets of potatoes?","assistant

What is the total amount of money spent on seeds, tools, and equipment for a farmer's farm?","assistant

What is the total amount of money that Farmer Brown has in his piggy bank after he collects money from selling his pigs?"
